캠페인ID,캠페인명,시작일,종료일,채널,캠페인유형,타깃세그먼트,노출수,클릭수,전환수,집행비용,매출기여,브랜드,담당자
MKT-2602-2078,02월_29CM_네이버_CRM_2078,2026-02-10,2026-02-16,네이버,CRM,신규유입,844975,34876,3687,12619127,80077189,29CM,이준혁
MKT-2602-0026,02월_무신사_인스타그램_브랜딩_26,2026-02-09,2026-02-18,인스타그램,브랜딩,MZ남성,1429976,18781,232,14622071,31874544,무신사,김지현
MKT-2602-1941,02월_무신사_인스타그램_CRM_1941,2026-02-05,2026-02-14,인스타그램,CRM,브랜드관심,2064256,107106,6434,20833841,113780838,무신사,정하늘
MKT-2602-2400,02월_29CM_CRM_CRM_2400,2026-02-10,2026-02-20,CRM,CRM,브랜드관심,1774869,114760,19360,26071553,144706920,29CM,송민아
MKT-2602-2065,02월_29CM_네이버_CRM_2065,2026-02-04,2026-02-16,네이버,CRM,MZ남성,1122748,47775,6480,11904997,109264846,29CM,송민아
MKT-2602-2013,02월_무신사_유튜브_CRM_2013,2026-02-04,2026-02-06,유튜브,CRM,이탈방지,1259468,69793,5679,16271348,141222540,무신사,최유진
MKT-2602-1588,02월_29CM_카카오_리타겟팅_1588,2026-02-15,2026-02-26,카카오,리타겟팅,VIP,330507,20108,1199,2724431,38000176,29CM,이준혁
MKT-2602-0348,02월_무신사_카카오_브랜딩_348,2026-02-10,2026-02-15,카카오,브랜딩,VIP,6586057,65803,986,29617131,62820321,무신사,윤세영
MKT-2602-1066,02월_무신사_CRM_퍼포먼스_1066,2026-02-05,2026-02-11,CRM,퍼포먼스,브랜드관심,793313,23795,1040,7081822,32551042,무신사,김지현
MKT-2602-2440,02월_무신사_틱톡_CRM_2440,2026-02-19,2026-02-28,틱톡,CRM,VIP,1304296,78379,6650,10962913,86197253,무신사,김지현
MKT-2602-0812,02월_무신사_네이버_퍼포먼스_812,2026-02-12,2026-02-19,네이버,퍼포먼스,이탈방지,660631,14306,440,8995992,39579355,무신사,이준혁
MKT-2602-1633,02월_무신사_앱푸시_리타겟팅_1633,2026-02-07,2026-02-17,앱푸시,리타겟팅,2030여성,4460952,301137,18679,26530348,257981858,무신사,한도경
MKT-2602-1342,02월_무신사_유튜브_리타겟팅_1342,2026-02-21,2026-02-23,유튜브,리타겟팅,MZ남성,1238354,79932,4885,9611908,132583891,무신사,송민아
MKT-2602-0619,02월_29CM_틱톡_브랜딩_619,2026-02-09,2026-02-13,틱톡,브랜딩,브랜드관심,1149530,15339,133,16337076,32010026,29CM,윤세영
MKT-2602-0663,02월_무신사_인스타그램_퍼포먼스_663,2026-02-12,2026-02-15,인스타그램,퍼포먼스,브랜드관심,570474,18357,491,6057805,35086483,무신사,이준혁
MKT-2602-0553,02월_29CM_틱톡_브랜딩_553,2026-02-13,2026-02-21,틱톡,브랜딩,MZ남성,768376,8459,83,8975002,18863027,29CM,최유진
MKT-2602-0299,02월_무신사_카카오_브랜딩_299,2026-02-20,2026-02-22,카카오,브랜딩,2030여성,276618,1420,18,1195110,3468229,무신사,최유진
MKT-2602-1777,02월_무신사_CRM_리타겟팅_1777,2026-02-16,2026-02-28,CRM,리타겟팅,MZ남성,6158191,233769,21688,25029516,341401970,무신사,이준혁
MKT-2602-1848,02월_무신사_틱톡_리타겟팅_1848,2026-02-17,2026-02-26,틱톡,리타겟팅,브랜드관심,454529,17843,1323,3061877,25596813,무신사,박서연
MKT-2602-0534,02월_무신사_틱톡_브랜딩_534,2026-02-17,2026-02-21,틱톡,브랜딩,MZ남성,1572442,22187,314,10914983,24604445,무신사,정하늘
MKT-2602-1195,02월_무신사_틱톡_퍼포먼스_1195,2026-02-14,2026-02-27,틱톡,퍼포먼스,2030여성,563307,15884,371,6006615,20018385,무신사,김지현
MKT-2602-2020,02월_무신사_유튜브_CRM_2020,2026-02-09,2026-02-15,유튜브,CRM,이탈방지,1016948,69564,4860,12947866,72882367,무신사,윤세영
MKT-2602-2208,02월_무신사_카카오_CRM_2208,2026-02-12,2026-02-24,카카오,CRM,이탈방지,1975501,126463,10432,14059885,107329932,무신사,박서연
MKT-2602-2027,02월_29CM_유튜브_CRM_2027,2026-02-20,2026-02-28,유튜브,CRM,신규유입,1761951,136352,20590,24384514,192950296,29CM,박서연
MKT-2602-1813,02월_29CM_틱톡_리타겟팅_1813,2026-02-17,2026-02-24,틱톡,리타겟팅,MZ남성,4615521,245850,22575,14787497,203240477,29CM,박서연
MKT-2602-1858,02월_29CM_틱톡_리타겟팅_1858,2026-02-13,2026-02-14,틱톡,리타겟팅,신규유입,1129915,60836,5616,7455966,96652678,29CM,이준혁
MKT-2602-0436,02월_무신사_앱푸시_브랜딩_436,2026-02-21,2026-02-28,앱푸시,브랜딩,이탈방지,126989,2122,17,1615322,3411626,무신사,박서연
MKT-2602-1041,02월_무신사_앱푸시_퍼포먼스_1041,2026-02-12,2026-02-13,앱푸시,퍼포먼스,신규유입,300354,7461,289,3589340,15873562,무신사,김지현
MKT-2602-1144,02월_무신사_CRM_퍼포먼스_1144,2026-02-15,2026-02-25,CRM,퍼포먼스,이탈방지,3602489,86659,1708,16181953,80348406,무신사,최유진
MKT-2602-1200,02월_무신사_틱톡_퍼포먼스_1200,2026-02-03,2026-02-05,틱톡,퍼포먼스,이탈방지,1442160,42195,1410,6994429,37135191,무신사,송민아
MKT-2602-1967,02월_무신사_유튜브_CRM_1967,2026-02-04,2026-02-18,유튜브,CRM,MZ남성,640393,33353,3562,5764403,52494216,무신사,이준혁
MKT-2602-0112,02월_29CM_유튜브_브랜딩_112,2026-02-20,2026-02-25,유튜브,브랜딩,VIP,884258,11870,84,13255835,36599708,29CM,김지현
MKT-2602-0083,02월_29CM_인스타그램_브랜딩_83,2026-02-17,2026-02-27,인스타그램,브랜딩,이탈방지,3058139,34981,485,23998003,58472082,29CM,송민아
MKT-2602-1689,02월_29CM_CRM_리타겟팅_1689,2026-02-17,2026-02-28,CRM,리타겟팅,이탈방지,1544529,84164,8123,23078908,263878843,29CM,이준혁
MKT-2602-2274,02월_29CM_앱푸시_CRM_2274,2026-02-10,2026-02-20,앱푸시,CRM,2030여성,2170415,95525,16486,11876738,96196382,29CM,최유진
MKT-2602-1586,02월_29CM_카카오_리타겟팅_1586,2026-02-07,2026-02-20,카카오,리타겟팅,신규유입,566491,40052,2229,7656733,105430790,29CM,김지현
MKT-2602-0789,02월_무신사_유튜브_퍼포먼스_789,2026-02-03,2026-02-10,유튜브,퍼포먼스,신규유입,318155,8240,294,2834600,13961697,무신사,이준혁
MKT-2602-2303,02월_무신사_앱푸시_CRM_2303,2026-02-21,2026-02-28,앱푸시,CRM,브랜드관심,6026497,398503,44069,29582874,234530194,무신사,이준혁
MKT-2602-1225,02월_무신사_틱톡_퍼포먼스_1225,2026-02-18,2026-02-24,틱톡,퍼포먼스,MZ남성,1646963,54886,1540,21106397,102489313,무신사,김지현
MKT-2602-2006,02월_무신사_유튜브_CRM_2006,2026-02-18,2026-02-19,유튜브,CRM,VIP,1531550,96614,10186,18079927,156870295,무신사,정하늘
MKT-2602-0345,02월_무신사_카카오_브랜딩_345,2026-02-16,2026-02-28,카카오,브랜딩,신규유입,1849467,16763,171,27075674,40762842,무신사,이준혁
MKT-2602-0150,02월_무신사_유튜브_브랜딩_150,2026-02-16,2026-02-25,유튜브,브랜딩,신규유입,978246,10031,98,11298592,33145864,무신사,정하늘
MKT-2602-2047,02월_29CM_유튜브_CRM_2047,2026-02-03,2026-02-07,유튜브,CRM,MZ남성,2719150,208416,19221,13717362,122692863,29CM,이준혁
MKT-2602-2172,02월_무신사_카카오_CRM_2172,2026-02-21,2026-02-28,카카오,CRM,VIP,2413277,220588,23764,19603149,139373433,무신사,최유진
MKT-2602-1583,02월_무신사_카카오_리타겟팅_1583,2026-02-20,2026-02-28,카카오,리타겟팅,VIP,2226069,99532,5576,13391521,125689580,무신사,최유진
MKT-2602-1835,02월_29CM_틱톡_리타겟팅_1835,2026-02-18,2026-02-27,틱톡,리타겟팅,이탈방지,139920,7341,536,1835182,15533278,29CM,박서연
MKT-2602-1085,02월_무신사_CRM_퍼포먼스_1085,2026-02-18,2026-02-28,CRM,퍼포먼스,이탈방지,2510150,55911,2572,20240784,108547749,무신사,정하늘
MKT-2602-1802,02월_무신사_틱톡_리타겟팅_1802,2026-02-17,2026-02-28,틱톡,리타겟팅,브랜드관심,376958,12764,925,5242711,65537663,무신사,송민아
MKT-2602-2296,02월_무신사_앱푸시_CRM_2296,2026-02-08,2026-02-21,앱푸시,CRM,이탈방지,338269,26174,1616,4072556,24222779,무신사,송민아
MKT-2602-1744,02월_무신사_CRM_리타겟팅_1744,2026-02-08,2026-02-17,CRM,리타겟팅,브랜드관심,2942990,148256,13841,28040394,347655859,무신사,김지현
MKT-2602-2409,02월_무신사_틱톡_CRM_2409,2026-02-14,2026-02-24,틱톡,CRM,이탈방지,1164147,92805,7372,12261410,122200950,무신사,이준혁
MKT-2602-0759,02월_29CM_유튜브_퍼포먼스_759,2026-02-07,2026-02-08,유튜브,퍼포먼스,신규유입,1969688,60476,1986,13482241,48426851,29CM,이준혁
MKT-2602-0816,02월_무신사_네이버_퍼포먼스_816,2026-02-16,2026-02-18,네이버,퍼포먼스,신규유입,2273926,59051,1880,28567234,141998455,무신사,최유진
MKT-2602-0493,02월_무신사_CRM_브랜딩_493,2026-02-21,2026-02-28,CRM,브랜딩,신규유입,507442,8354,57,5092751,9133937,무신사,이준혁
MKT-2602-1088,02월_무신사_CRM_퍼포먼스_1088,2026-02-03,2026-02-07,CRM,퍼포먼스,VIP,2319144,80761,1895,29939710,119098252,무신사,박서연
MKT-2602-1751,02월_무신사_CRM_리타겟팅_1751,2026-02-18,2026-02-19,CRM,리타겟팅,신규유입,3510616,124957,6993,27355037,332582463,무신사,김지현
MKT-2602-0783,02월_무신사_유튜브_퍼포먼스_783,2026-02-09,2026-02-13,유튜브,퍼포먼스,2030여성,403000,11235,366,1348380,5536306,무신사,송민아
MKT-2602-0557,02월_무신사_틱톡_브랜딩_557,2026-02-10,2026-02-15,틱톡,브랜딩,이탈방지,633785,5935,72,8425005,14585426,무신사,윤세영
MKT-2602-0588,02월_무신사_틱톡_브랜딩_588,2026-02-06,2026-02-13,틱톡,브랜딩,MZ남성,1417868,17906,207,18373295,46393078,무신사,한도경
MKT-2602-2153,02월_무신사_카카오_CRM_2153,2026-02-17,2026-02-19,카카오,CRM,MZ남성,1327268,86097,6158,7418781,52999486,무신사,송민아
MKT-2602-1055,02월_29CM_앱푸시_퍼포먼스_1055,2026-02-16,2026-02-20,앱푸시,퍼포먼스,MZ남성,1447612,25956,1136,17890502,73266237,29CM,한도경
MKT-2602-2038,02월_무신사_유튜브_CRM_2038,2026-02-14,2026-02-21,유튜브,CRM,이탈방지,2887658,181627,16068,26628171,168272683,무신사,이준혁
MKT-2602-1715,02월_무신사_CRM_리타겟팅_1715,2026-02-05,2026-02-17,CRM,리타겟팅,이탈방지,1741061,79624,4715,9109137,134165947,무신사,이준혁
MKT-2602-2281,02월_무신사_앱푸시_CRM_2281,2026-02-18,2026-02-26,앱푸시,CRM,MZ남성,861190,50579,4553,12324501,86351053,무신사,최유진
MKT-2602-0445,02월_무신사_CRM_브랜딩_445,2026-02-04,2026-02-05,CRM,브랜딩,2030여성,745828,6947,55,8057969,22358851,무신사,김지현
MKT-2602-0122,02월_무신사_유튜브_브랜딩_122,2026-02-19,2026-02-28,유튜브,브랜딩,2030여성,3570698,44234,518,19014838,45720395,무신사,박서연
MKT-2602-0795,02월_무신사_유튜브_퍼포먼스_795,2026-02-09,2026-02-18,유튜브,퍼포먼스,VIP,2751568,52367,2001,13533205,54179607,무신사,정하늘
MKT-2602-1276,02월_무신사_인스타그램_리타겟팅_1276,2026-02-02,2026-02-08,인스타그램,리타겟팅,2030여성,1797708,83108,7951,21881109,253231326,무신사,김지현
MKT-2602-0418,02월_무신사_앱푸시_브랜딩_418,2026-02-03,2026-02-04,앱푸시,브랜딩,브랜드관심,5206184,56973,753,22306352,52378997,무신사,윤세영
MKT-2602-0589,02월_무신사_틱톡_브랜딩_589,2026-02-19,2026-02-28,틱톡,브랜딩,이탈방지,1834385,20846,233,14534798,24823371,무신사,박서연
MKT-2602-1170,02월_29CM_틱톡_퍼포먼스_1170,2026-02-12,2026-02-23,틱톡,퍼포먼스,신규유입,1930712,35264,1573,20622259,74522929,29CM,박서연
MKT-2602-1130,02월_29CM_CRM_퍼포먼스_1130,2026-02-11,2026-02-16,CRM,퍼포먼스,브랜드관심,450134,12913,506,5821680,21339430,29CM,정하늘
MKT-2602-2139,02월_무신사_네이버_CRM_2139,2026-02-14,2026-02-16,네이버,CRM,MZ남성,1041864,60907,6702,10737064,80910035,무신사,최유진
MKT-2602-1827,02월_29CM_틱톡_리타겟팅_1827,2026-02-18,2026-02-25,틱톡,리타겟팅,이탈방지,4071464,178238,16385,25892115,260157468,29CM,최유진
MKT-2602-1444,02월_무신사_네이버_리타겟팅_1444,2026-02-13,2026-02-20,네이버,리타겟팅,VIP,1497313,45731,3531,20694040,204745114,무신사,윤세영
MKT-2602-0719,02월_무신사_유튜브_퍼포먼스_719,2026-02-13,2026-02-14,유튜브,퍼포먼스,이탈방지,3458263,98113,4558,20590771,87892154,무신사,정하늘
MKT-2602-0721,02월_무신사_유튜브_퍼포먼스_721,2026-02-09,2026-02-19,유튜브,퍼포먼스,2030여성,3064598,88628,2966,23737220,118422357,무신사,박서연
MKT-2602-0669,02월_무신사_인스타그램_퍼포먼스_669,2026-02-21,2026-02-23,인스타그램,퍼포먼스,VIP,4275378,141451,4626,18090607,90114094,무신사,박서연
MKT-2602-1068,02월_29CM_CRM_퍼포먼스_1068,2026-02-13,2026-02-20,CRM,퍼포먼스,VIP,1036392,27344,572,11635941,39265208,29CM,이준혁
MKT-2602-1618,02월_무신사_앱푸시_리타겟팅_1618,2026-02-02,2026-02-09,앱푸시,리타겟팅,2030여성,7683097,337569,31850,29637042,241105861,무신사,박서연
MKT-2602-1080,02월_무신사_CRM_퍼포먼스_1080,2026-02-08,2026-02-21,CRM,퍼포먼스,2030여성,4270602,78516,2906,29073589,170318660,무신사,박서연
MKT-2602-0787,02월_무신사_유튜브_퍼포먼스_787,2026-02-21,2026-02-26,유튜브,퍼포먼스,2030여성,2635176,103293,2144,25883638,133347602,무신사,송민아
MKT-2602-0942,02월_29CM_카카오_퍼포먼스_942,2026-02-06,2026-02-18,카카오,퍼포먼스,VIP,2635103,52100,1679,29485167,148730070,29CM,최유진
MKT-2602-1180,02월_29CM_틱톡_퍼포먼스_1180,2026-02-02,2026-02-16,틱톡,퍼포먼스,MZ남성,1106763,22055,1055,16530855,93687983,29CM,윤세영
MKT-2602-2408,02월_무신사_틱톡_CRM_2408,2026-02-13,2026-02-17,틱톡,CRM,MZ남성,547575,33035,3384,4321234,37462054,무신사,윤세영
MKT-2602-0994,02월_무신사_앱푸시_퍼포먼스_994,2026-02-07,2026-02-09,앱푸시,퍼포먼스,브랜드관심,4419521,128551,2613,26615241,111000253,무신사,한도경
MKT-2602-1513,02월_29CM_카카오_리타겟팅_1513,2026-02-01,2026-02-11,카카오,리타겟팅,이탈방지,2210671,138826,13190,19224075,270268407,29CM,한도경
MKT-2602-0043,02월_무신사_인스타그램_브랜딩_43,2026-02-16,2026-02-21,인스타그램,브랜딩,VIP,1963586,29359,419,16174377,25251236,무신사,송민아
MKT-2602-0767,02월_무신사_유튜브_퍼포먼스_767,2026-02-18,2026-02-28,유튜브,퍼포먼스,VIP,4003487,115369,3725,20204139,113949807,무신사,한도경
MKT-2602-0880,02월_무신사_네이버_퍼포먼스_880,2026-02-15,2026-02-20,네이버,퍼포먼스,MZ남성,1397535,37617,941,16148077,54762042,무신사,최유진
MKT-2602-0879,02월_무신사_네이버_퍼포먼스_879,2026-02-15,2026-02-28,네이버,퍼포먼스,MZ남성,2164979,72694,2023,25959633,96919649,무신사,최유진
MKT-2602-0484,02월_29CM_CRM_브랜딩_484,2026-02-19,2026-02-28,CRM,브랜딩,2030여성,2193250,31320,245,19955806,41430281,29CM,이준혁
MKT-2602-0542,02월_무신사_틱톡_브랜딩_542,2026-02-09,2026-02-18,틱톡,브랜딩,MZ남성,1391181,18587,108,11957244,34621115,무신사,박서연
MKT-2602-1409,02월_무신사_유튜브_리타겟팅_1409,2026-02-21,2026-02-28,유튜브,리타겟팅,신규유입,1832066,109753,10275,21385049,177479179,무신사,박서연
MKT-2602-0304,02월_무신사_카카오_브랜딩_304,2026-02-04,2026-02-12,카카오,브랜딩,VIP,736800,10731,83,4195539,6773424,무신사,박서연
MKT-2602-0123,02월_29CM_유튜브_브랜딩_123,2026-02-19,2026-02-22,유튜브,브랜딩,VIP,780946,8355,60,4775871,10911050,29CM,최유진
MKT-2602-1538,02월_무신사_카카오_리타겟팅_1538,2026-02-07,2026-02-20,카카오,리타겟팅,브랜드관심,783832,43695,2881,2545461,34498521,무신사,한도경
MKT-2602-0302,02월_29CM_카카오_브랜딩_302,2026-02-02,2026-02-11,카카오,브랜딩,MZ남성,2263375,11796,64,21554931,49941980,29CM,한도경
MKT-2602-0785,02월_무신사_유튜브_퍼포먼스_785,2026-02-10,2026-02-13,유튜브,퍼포먼스,VIP,782925,13684,629,11331495,52778991,무신사,이준혁
MKT-2602-2345,02월_무신사_CRM_CRM_2345,2026-02-07,2026-02-17,CRM,CRM,MZ남성,1362306,90178,9267,8210313,74483768,무신사,한도경
MKT-2602-2403,02월_무신사_CRM_CRM_2403,2026-02-14,2026-02-18,CRM,CRM,MZ남성,60101,2886,238,810651,4349781,무신사,정하늘
MKT-2602-1117,02월_무신사_CRM_퍼포먼스_1117,2026-02-05,2026-02-07,CRM,퍼포먼스,브랜드관심,332971,11147,544,4462080,18876091,무신사,이준혁
MKT-2602-1529,02월_무신사_카카오_리타겟팅_1529,2026-02-19,2026-02-28,카카오,리타겟팅,이탈방지,3868789,128339,10106,13326682,116916057,무신사,박서연
MKT-2602-0745,02월_무신사_유튜브_퍼포먼스_745,2026-02-18,2026-02-28,유튜브,퍼포먼스,2030여성,2009411,49012,2426,19346318,98083726,무신사,박서연
MKT-2602-1545,02월_29CM_카카오_리타겟팅_1545,2026-02-11,2026-02-13,카카오,리타겟팅,이탈방지,1779922,90471,6015,19132640,172014895,29CM,정하늘
MKT-2602-1552,02월_무신사_카카오_리타겟팅_1552,2026-02-15,2026-02-16,카카오,리타겟팅,이탈방지,697162,27474,2332,3425608,50195174,무신사,윤세영
MKT-2602-1771,02월_29CM_CRM_리타겟팅_1771,2026-02-14,2026-02-22,CRM,리타겟팅,2030여성,1374473,66643,4597,11104320,93641271,29CM,이준혁
MKT-2602-2359,02월_무신사_CRM_CRM_2359,2026-02-13,2026-02-18,CRM,CRM,VIP,4578072,341503,21886,21287439,198871910,무신사,한도경
MKT-2602-2335,02월_무신사_CRM_CRM_2335,2026-02-02,2026-02-10,CRM,CRM,VIP,2896606,224695,24504,28977982,248938112,무신사,송민아
MKT-2602-1226,02월_무신사_틱톡_퍼포먼스_1226,2026-02-12,2026-02-25,틱톡,퍼포먼스,이탈방지,861807,22376,645,7031280,24064416,무신사,한도경
MKT-2602-0818,02월_29CM_네이버_퍼포먼스_818,2026-02-01,2026-02-14,네이버,퍼포먼스,2030여성,6367920,136683,2902,27341371,159956092,29CM,한도경
MKT-2602-0359,02월_무신사_앱푸시_브랜딩_359,2026-02-07,2026-02-09,앱푸시,브랜딩,이탈방지,4835946,73701,461,15177414,36837852,무신사,박서연
MKT-2602-0226,02월_무신사_네이버_브랜딩_226,2026-02-05,2026-02-19,네이버,브랜딩,신규유입,1336009,6702,37,13257230,30536764,무신사,한도경
MKT-2602-0388,02월_29CM_앱푸시_브랜딩_388,2026-02-11,2026-02-15,앱푸시,브랜딩,신규유입,2792100,37929,478,26055140,51269692,29CM,이준혁
MKT-2602-2212,02월_무신사_카카오_CRM_2212,2026-02-08,2026-02-12,카카오,CRM,VIP,7008485,489062,48948,28618899,191687123,무신사,송민아
MKT-2602-0136,02월_무신사_유튜브_브랜딩_136,2026-02-05,2026-02-10,유튜브,브랜딩,2030여성,1220484,15309,124,17717642,50102530,무신사,이준혁
MKT-2602-0322,02월_무신사_카카오_브랜딩_322,2026-02-04,2026-02-06,카카오,브랜딩,MZ남성,1679931,14035,103,20739703,36172958,무신사,박서연
MKT-2602-0215,02월_무신사_네이버_브랜딩_215,2026-02-13,2026-02-23,네이버,브랜딩,신규유입,923530,12063,60,12446358,34922143,무신사,이준혁
MKT-2602-1026,02월_29CM_앱푸시_퍼포먼스_1026,2026-02-19,2026-02-28,앱푸시,퍼포먼스,신규유입,296162,8586,426,2337860,10330845,29CM,박서연
MKT-2602-0520,02월_29CM_CRM_브랜딩_520,2026-02-10,2026-02-22,CRM,브랜딩,2030여성,3710960,30518,424,23205719,54434016,29CM,이준혁
MKT-2602-1710,02월_무신사_CRM_리타겟팅_1710,2026-02-02,2026-02-08,CRM,리타겟팅,신규유입,1966809,74100,6498,23934455,308739779,무신사,윤세영
MKT-2602-1779,02월_29CM_CRM_리타겟팅_1779,2026-02-07,2026-02-20,CRM,리타겟팅,이탈방지,772267,51727,3194,7557614,62572712,29CM,이준혁
MKT-2602-1536,02월_무신사_카카오_리타겟팅_1536,2026-02-04,2026-02-08,카카오,리타겟팅,MZ남성,2298417,87867,5217,18209494,236740016,무신사,이준혁
MKT-2602-1657,02월_무신사_앱푸시_리타겟팅_1657,2026-02-10,2026-02-21,앱푸시,리타겟팅,2030여성,4250498,137062,11906,24564448,211028636,무신사,최유진
MKT-2602-1366,02월_29CM_유튜브_리타겟팅_1366,2026-02-20,2026-02-24,유튜브,리타겟팅,VIP,4798704,227216,14599,29280470,352081237,29CM,한도경
MKT-2602-1179,02월_무신사_틱톡_퍼포먼스_1179,2026-02-11,2026-02-21,틱톡,퍼포먼스,이탈방지,871725,13935,330,11021182,37519443,무신사,이준혁
MKT-2602-2362,02월_무신사_CRM_CRM_2362,2026-02-18,2026-02-28,CRM,CRM,2030여성,96160,5279,618,949522,5420625,무신사,최유진
MKT-2602-0066,02월_무신사_인스타그램_브랜딩_66,2026-02-16,2026-02-28,인스타그램,브랜딩,이탈방지,2593433,20508,202,25030925,55797722,무신사,송민아
MKT-2602-0103,02월_무신사_유튜브_브랜딩_103,2026-02-19,2026-02-27,유튜브,브랜딩,MZ남성,1789758,16139,87,18402761,51398203,무신사,윤세영
MKT-2602-1087,02월_무신사_CRM_퍼포먼스_1087,2026-02-05,2026-02-19,CRM,퍼포먼스,브랜드관심,518457,16088,501,1822118,6721283,무신사,최유진
MKT-2602-1833,02월_29CM_틱톡_리타겟팅_1833,2026-02-09,2026-02-23,틱톡,리타겟팅,신규유입,1774704,77094,6441,18691630,221782256,29CM,송민아
MKT-2602-1176,02월_29CM_틱톡_퍼포먼스_1176,2026-02-13,2026-02-21,틱톡,퍼포먼스,MZ남성,1292606,21447,603,5380834,24487716,29CM,최유진
MKT-2602-0458,02월_29CM_CRM_브랜딩_458,2026-02-19,2026-02-23,CRM,브랜딩,브랜드관심,1019707,11436,156,11940195,31927114,29CM,김지현
MKT-2602-2197,02월_무신사_카카오_CRM_2197,2026-02-16,2026-02-23,카카오,CRM,신규유입,2206961,90487,10164,19209033,98208811,무신사,한도경
MKT-2602-1108,02월_29CM_CRM_퍼포먼스_1108,2026-02-05,2026-02-15,CRM,퍼포먼스,MZ남성,3027706,54452,2416,17912901,94190456,29CM,이준혁
MKT-2602-2148,02월_29CM_카카오_CRM_2148,2026-02-02,2026-02-04,카카오,CRM,2030여성,2372639,151681,18538,13759536,75517004,29CM,정하늘
MKT-2602-1396,02월_무신사_유튜브_리타겟팅_1396,2026-02-04,2026-02-13,유튜브,리타겟팅,브랜드관심,5060741,257625,25537,17730628,210455327,무신사,김지현
MKT-2602-0001,02월_29CM_인스타그램_브랜딩_1,2026-02-19,2026-02-20,인스타그램,브랜딩,VIP,3026979,18081,152,21476653,43727520,29CM,김지현
MKT-2602-0019,02월_무신사_인스타그램_브랜딩_19,2026-02-14,2026-02-18,인스타그램,브랜딩,MZ남성,1145062,10642,92,6377201,17820130,무신사,송민아
MKT-2602-0468,02월_29CM_CRM_브랜딩_468,2026-02-14,2026-02-16,CRM,브랜딩,신규유입,4672298,29418,311,29888754,60985922,29CM,윤세영
MKT-2602-0811,02월_29CM_네이버_퍼포먼스_811,2026-02-12,2026-02-20,네이버,퍼포먼스,이탈방지,4032135,126143,5367,26246761,117678193,29CM,한도경
