캠페인ID,캠페인명,시작일,종료일,채널,캠페인유형,타깃세그먼트,노출수,클릭수,전환수,집행비용,매출기여,브랜드,담당자
MKT-2601-1315,01월_29CM_네이버_CRM_1315,2026-01-23,2026-01-29,네이버,CRM,신규유입,1934995,146139,17118,24821123,185888582,29CM,윤세영
MKT-2601-0797,01월_29CM_인스타그램_리타겟팅_797,2026-01-09,2026-01-15,인스타그램,리타겟팅,브랜드관심,1507539,52330,4212,15387779,227910253,29CM,김지현
MKT-2601-0015,01월_무신사_인스타그램_브랜딩_15,2026-01-04,2026-01-10,인스타그램,브랜딩,VIP,4211719,56641,356,23878321,46181830,무신사,최유진
MKT-2601-0659,01월_무신사_앱푸시_퍼포먼스_659,2026-01-15,2026-01-21,앱푸시,퍼포먼스,MZ남성,2308074,60421,1301,14947156,74725588,무신사,한도경
MKT-2601-1552,01월_무신사_틱톡_CRM_1552,2026-01-23,2026-01-25,틱톡,CRM,브랜드관심,999436,64656,5995,10925857,94125173,무신사,한도경
MKT-2601-1297,01월_무신사_네이버_CRM_1297,2026-01-11,2026-01-22,네이버,CRM,MZ남성,1564759,86028,7039,17747960,125765824,무신사,이준혁
MKT-2601-0275,01월_29CM_앱푸시_브랜딩_275,2026-01-21,2026-01-31,앱푸시,브랜딩,신규유입,2405631,27419,386,22668641,48508837,29CM,송민아
MKT-2601-0934,01월_무신사_네이버_리타겟팅_934,2026-01-09,2026-01-15,네이버,리타겟팅,브랜드관심,1612298,82083,6314,24123792,206405536,무신사,송민아
MKT-2601-0185,01월_무신사_카카오_브랜딩_185,2026-01-10,2026-01-17,카카오,브랜딩,이탈방지,963058,8750,109,13663080,24946597,무신사,윤세영
MKT-2601-0549,01월_무신사_네이버_퍼포먼스_549,2026-01-22,2026-01-24,네이버,퍼포먼스,브랜드관심,1375892,27278,1119,14616039,62411553,무신사,최유진
MKT-2601-0019,01월_29CM_인스타그램_브랜딩_19,2026-01-19,2026-01-31,인스타그램,브랜딩,MZ남성,978845,11559,141,12091222,20454117,29CM,한도경
MKT-2601-0236,01월_29CM_앱푸시_브랜딩_236,2026-01-17,2026-01-25,앱푸시,브랜딩,브랜드관심,968981,10160,143,9967482,28833550,29CM,윤세영
MKT-2601-0032,01월_29CM_인스타그램_브랜딩_32,2026-01-10,2026-01-23,인스타그램,브랜딩,2030여성,1577500,11498,86,22708195,59650811,29CM,정하늘
MKT-2601-0788,01월_무신사_인스타그램_리타겟팅_788,2026-01-18,2026-01-31,인스타그램,리타겟팅,2030여성,2395770,137360,10983,17919776,249773118,무신사,이준혁
MKT-2601-0581,01월_무신사_카카오_퍼포먼스_581,2026-01-21,2026-01-27,카카오,퍼포먼스,VIP,1803238,52547,1969,25222937,82509570,무신사,윤세영
MKT-2601-0657,01월_무신사_앱푸시_퍼포먼스_657,2026-01-07,2026-01-14,앱푸시,퍼포먼스,이탈방지,1562070,49679,1191,7570117,34825832,무신사,정하늘
MKT-2601-0779,01월_무신사_틱톡_퍼포먼스_779,2026-01-09,2026-01-21,틱톡,퍼포먼스,브랜드관심,560623,18435,450,4907778,26402084,무신사,한도경
MKT-2601-0320,01월_무신사_CRM_브랜딩_320,2026-01-08,2026-01-11,CRM,브랜딩,VIP,1069369,11402,126,13123443,29190827,무신사,김지현
MKT-2601-1347,01월_무신사_카카오_CRM_1347,2026-01-12,2026-01-15,카카오,CRM,신규유입,636740,46561,4055,5608364,30080222,무신사,김지현
MKT-2601-1094,01월_29CM_CRM_리타겟팅_1094,2026-01-19,2026-01-25,CRM,리타겟팅,VIP,435912,20137,1795,6187986,89197720,29CM,김지현
MKT-2601-1271,01월_무신사_유튜브_CRM_1271,2026-01-10,2026-01-12,유튜브,CRM,MZ남성,47086,4378,384,695627,4382801,무신사,이준혁
MKT-2601-0404,01월_29CM_인스타그램_퍼포먼스_404,2026-01-23,2026-01-25,인스타그램,퍼포먼스,신규유입,5927106,186375,7836,25664889,86919978,29CM,정하늘
MKT-2601-1304,01월_29CM_네이버_CRM_1304,2026-01-09,2026-01-14,네이버,CRM,이탈방지,213273,14960,2178,3054368,26043997,29CM,박서연
MKT-2601-0307,01월_29CM_CRM_브랜딩_307,2026-01-21,2026-01-31,CRM,브랜딩,이탈방지,4443995,46153,645,28293109,43739211,29CM,한도경
MKT-2601-0801,01월_29CM_인스타그램_리타겟팅_801,2026-01-18,2026-01-20,인스타그램,리타겟팅,이탈방지,1542032,81068,4016,20307528,234392433,29CM,정하늘
MKT-2601-1434,01월_무신사_앱푸시_CRM_1434,2026-01-21,2026-01-28,앱푸시,CRM,신규유입,2085703,121467,13912,13865309,71144720,무신사,윤세영
MKT-2601-0894,01월_29CM_네이버_리타겟팅_894,2026-01-16,2026-01-21,네이버,리타겟팅,이탈방지,449936,18507,1530,5140795,64626015,29CM,송민아
MKT-2601-0890,01월_29CM_유튜브_리타겟팅_890,2026-01-09,2026-01-19,유튜브,리타겟팅,2030여성,66433,3279,211,820419,7115411,29CM,송민아
MKT-2601-1227,01월_29CM_인스타그램_CRM_1227,2026-01-03,2026-01-07,인스타그램,CRM,브랜드관심,3412903,176116,20421,18133915,151777690,29CM,박서연
MKT-2601-1158,01월_무신사_틱톡_리타겟팅_1158,2026-01-12,2026-01-21,틱톡,리타겟팅,신규유입,2946796,106337,9074,13918500,119404931,무신사,송민아
MKT-2601-0479,01월_29CM_유튜브_퍼포먼스_479,2026-01-24,2026-01-31,유튜브,퍼포먼스,이탈방지,1138215,22680,594,10831596,64426216,29CM,박서연
MKT-2601-0377,01월_무신사_틱톡_브랜딩_377,2026-01-08,2026-01-09,틱톡,브랜딩,VIP,2444569,33307,282,26686834,63527118,무신사,최유진
MKT-2601-0668,01월_29CM_앱푸시_퍼포먼스_668,2026-01-11,2026-01-18,앱푸시,퍼포먼스,브랜드관심,2906562,111993,5081,9825239,53207112,29CM,송민아
MKT-2601-1062,01월_무신사_CRM_리타겟팅_1062,2026-01-18,2026-01-21,CRM,리타겟팅,MZ남성,3425525,229868,16274,24740117,273202706,무신사,정하늘
MKT-2601-1511,01월_무신사_틱톡_CRM_1511,2026-01-23,2026-01-25,틱톡,CRM,2030여성,1181786,93842,9514,13322930,125338520,무신사,한도경
MKT-2601-0867,01월_29CM_유튜브_리타겟팅_867,2026-01-06,2026-01-07,유튜브,리타겟팅,MZ남성,1778707,105215,5547,9053253,108361357,29CM,한도경
MKT-2601-0870,01월_29CM_유튜브_리타겟팅_870,2026-01-02,2026-01-08,유튜브,리타겟팅,MZ남성,2102697,64900,3483,20757593,296250513,29CM,김지현
MKT-2601-1450,01월_29CM_앱푸시_CRM_1450,2026-01-17,2026-01-29,앱푸시,CRM,MZ남성,502711,28390,2848,7105137,47528085,29CM,한도경
MKT-2601-0958,01월_29CM_카카오_리타겟팅_958,2026-01-16,2026-01-17,카카오,리타겟팅,VIP,2100666,123895,11873,17527944,262226885,29CM,김지현
MKT-2601-1218,01월_29CM_인스타그램_CRM_1218,2026-01-11,2026-01-12,인스타그램,CRM,VIP,1142511,74253,9510,3907442,38518708,29CM,윤세영
MKT-2601-1085,01월_무신사_CRM_리타겟팅_1085,2026-01-21,2026-01-31,CRM,리타겟팅,이탈방지,554104,26483,1733,8147098,103905943,무신사,한도경
MKT-2601-0050,01월_29CM_인스타그램_브랜딩_50,2026-01-23,2026-01-26,인스타그램,브랜딩,신규유입,2504016,32086,460,29008188,59422126,29CM,박서연
MKT-2601-0556,01월_무신사_네이버_퍼포먼스_556,2026-01-07,2026-01-17,네이버,퍼포먼스,신규유입,666034,14938,332,4082517,14067423,무신사,한도경
MKT-2601-1001,01월_무신사_카카오_리타겟팅_1001,2026-01-04,2026-01-09,카카오,리타겟팅,이탈방지,3722356,183464,13681,28260833,413477235,무신사,송민아
MKT-2601-1138,01월_29CM_틱톡_리타겟팅_1138,2026-01-10,2026-01-17,틱톡,리타겟팅,MZ남성,2672983,129628,11213,9942960,84061472,29CM,최유진
MKT-2601-1100,01월_29CM_CRM_리타겟팅_1100,2026-01-15,2026-01-25,CRM,리타겟팅,이탈방지,2481453,126581,10454,17235528,212724613,29CM,한도경
MKT-2601-0248,01월_29CM_앱푸시_브랜딩_248,2026-01-13,2026-01-23,앱푸시,브랜딩,2030여성,1801473,16532,228,13021167,24543247,29CM,박서연
MKT-2601-0701,01월_무신사_CRM_퍼포먼스_701,2026-01-03,2026-01-17,CRM,퍼포먼스,신규유입,2735073,71192,1500,16425670,97531891,무신사,최유진
MKT-2601-0942,01월_무신사_네이버_리타겟팅_942,2026-01-24,2026-01-26,네이버,리타겟팅,브랜드관심,954507,38030,3306,10510132,110044527,무신사,윤세영
MKT-2601-1114,01월_무신사_CRM_리타겟팅_1114,2026-01-18,2026-01-23,CRM,리타겟팅,MZ남성,1705653,70066,5012,19783711,288620058,무신사,윤세영
MKT-2601-1387,01월_29CM_카카오_CRM_1387,2026-01-09,2026-01-16,카카오,CRM,VIP,2156742,162832,15851,22231170,177834917,29CM,윤세영
MKT-2601-0769,01월_29CM_틱톡_퍼포먼스_769,2026-01-16,2026-01-18,틱톡,퍼포먼스,MZ남성,6666789,135457,5555,25392341,125398614,29CM,윤세영
MKT-2601-1509,01월_무신사_틱톡_CRM_1509,2026-01-19,2026-01-27,틱톡,CRM,이탈방지,1903218,103043,11664,24132184,168754660,무신사,김지현
MKT-2601-1309,01월_29CM_네이버_CRM_1309,2026-01-12,2026-01-23,네이버,CRM,브랜드관심,1366251,58917,5617,15778842,127557905,29CM,한도경
MKT-2601-0710,01월_무신사_CRM_퍼포먼스_710,2026-01-19,2026-01-29,CRM,퍼포먼스,이탈방지,542103,18969,434,6686692,34135335,무신사,정하늘
MKT-2601-0399,01월_무신사_인스타그램_퍼포먼스_399,2026-01-22,2026-01-23,인스타그램,퍼포먼스,VIP,1299599,33089,979,8942024,30405467,무신사,윤세영
MKT-2601-1501,01월_29CM_CRM_CRM_1501,2026-01-24,2026-01-29,CRM,CRM,MZ남성,1244781,75494,6604,11103186,62951300,29CM,송민아
MKT-2601-0998,01월_무신사_카카오_리타겟팅_998,2026-01-20,2026-01-27,카카오,리타겟팅,신규유입,2073517,114624,7635,28932226,261769633,무신사,윤세영
MKT-2601-1224,01월_무신사_인스타그램_CRM_1224,2026-01-15,2026-01-22,인스타그램,CRM,이탈방지,1218188,86743,7515,17532039,158722778,무신사,박서연
MKT-2601-1150,01월_29CM_틱톡_리타겟팅_1150,2026-01-08,2026-01-17,틱톡,리타겟팅,MZ남성,246795,9912,696,2659327,26421076,29CM,윤세영
MKT-2601-0281,01월_29CM_CRM_브랜딩_281,2026-01-15,2026-01-24,CRM,브랜딩,2030여성,784970,9714,52,10687905,18927942,29CM,윤세영
MKT-2601-0409,01월_무신사_인스타그램_퍼포먼스_409,2026-01-12,2026-01-23,인스타그램,퍼포먼스,브랜드관심,137169,4062,127,1891357,10362327,무신사,정하늘
MKT-2601-1383,01월_무신사_카카오_CRM_1383,2026-01-19,2026-01-28,카카오,CRM,2030여성,52704,2375,247,587523,4757909,무신사,정하늘
MKT-2601-0908,01월_29CM_네이버_리타겟팅_908,2026-01-11,2026-01-12,네이버,리타겟팅,브랜드관심,2319667,138880,12290,22730189,234349422,29CM,김지현
MKT-2601-1317,01월_29CM_네이버_CRM_1317,2026-01-01,2026-01-11,네이버,CRM,2030여성,349619,18928,2461,3165811,22792112,29CM,김지현
MKT-2601-1006,01월_무신사_앱푸시_리타겟팅_1006,2026-01-05,2026-01-10,앱푸시,리타겟팅,신규유입,2742905,106546,9983,24847737,360002949,무신사,한도경
MKT-2601-0446,01월_29CM_인스타그램_퍼포먼스_446,2026-01-15,2026-01-27,인스타그램,퍼포먼스,브랜드관심,705543,20712,962,10121548,58355134,29CM,이준혁
MKT-2601-1302,01월_무신사_네이버_CRM_1302,2026-01-12,2026-01-26,네이버,CRM,브랜드관심,1115686,75917,8643,9077580,58161995,무신사,박서연
MKT-2601-0095,01월_무신사_유튜브_브랜딩_95,2026-01-12,2026-01-22,유튜브,브랜딩,신규유입,3075564,28821,408,17248395,39196177,무신사,정하늘
MKT-2601-0140,01월_무신사_네이버_브랜딩_140,2026-01-08,2026-01-20,네이버,브랜딩,이탈방지,374268,2348,23,3682732,6924752,무신사,정하늘
MKT-2601-0460,01월_29CM_유튜브_퍼포먼스_460,2026-01-09,2026-01-13,유튜브,퍼포먼스,신규유입,2009147,45114,1000,17623262,67920661,29CM,정하늘
MKT-2601-1071,01월_무신사_CRM_리타겟팅_1071,2026-01-21,2026-01-27,CRM,리타겟팅,신규유입,708404,24411,1742,8328676,116871495,무신사,김지현
MKT-2601-1080,01월_무신사_CRM_리타겟팅_1080,2026-01-02,2026-01-16,CRM,리타겟팅,신규유입,305506,15323,967,4174806,35785835,무신사,김지현
MKT-2601-1096,01월_29CM_CRM_리타겟팅_1096,2026-01-13,2026-01-18,CRM,리타겟팅,이탈방지,402644,15936,1006,3676298,42168984,29CM,최유진
MKT-2601-1496,01월_무신사_CRM_CRM_1496,2026-01-02,2026-01-09,CRM,CRM,이탈방지,1577525,63642,6552,14069502,95266065,무신사,김지현
MKT-2601-0567,01월_무신사_카카오_퍼포먼스_567,2026-01-22,2026-01-31,카카오,퍼포먼스,2030여성,2419401,52235,2088,28158179,119369177,무신사,박서연
MKT-2601-1448,01월_무신사_앱푸시_CRM_1448,2026-01-11,2026-01-24,앱푸시,CRM,2030여성,1635375,146395,10062,18794267,162221030,무신사,정하늘
MKT-2601-0014,01월_29CM_인스타그램_브랜딩_14,2026-01-18,2026-01-19,인스타그램,브랜딩,브랜드관심,3419475,55154,451,22395882,43754333,29CM,이준혁
MKT-2601-0911,01월_29CM_네이버_리타겟팅_911,2026-01-22,2026-01-31,네이버,리타겟팅,MZ남성,1189698,47134,2597,4783547,68007801,29CM,최유진
MKT-2601-0948,01월_29CM_카카오_리타겟팅_948,2026-01-06,2026-01-15,카카오,리타겟팅,VIP,207815,11191,1042,2758566,34286232,29CM,정하늘
MKT-2601-1370,01월_무신사_카카오_CRM_1370,2026-01-13,2026-01-27,카카오,CRM,VIP,539436,28249,2520,6841733,58160449,무신사,정하늘
MKT-2601-0234,01월_무신사_앱푸시_브랜딩_234,2026-01-10,2026-01-22,앱푸시,브랜딩,브랜드관심,3183839,20962,171,22988819,49118453,무신사,정하늘
MKT-2601-0726,01월_무신사_CRM_퍼포먼스_726,2026-01-14,2026-01-17,CRM,퍼포먼스,VIP,3945323,118272,4709,12675382,59753976,무신사,송민아
MKT-2601-0810,01월_29CM_인스타그램_리타겟팅_810,2026-01-24,2026-01-31,인스타그램,리타겟팅,VIP,1405330,68490,3320,15328325,126821878,29CM,박서연
MKT-2601-0001,01월_무신사_인스타그램_브랜딩_1,2026-01-22,2026-01-27,인스타그램,브랜딩,이탈방지,2278851,21574,234,20568326,46229736,무신사,윤세영
MKT-2601-0986,01월_무신사_카카오_리타겟팅_986,2026-01-01,2026-01-06,카카오,리타겟팅,2030여성,181388,5817,463,766805,10452561,무신사,최유진
MKT-2601-0906,01월_29CM_네이버_리타겟팅_906,2026-01-23,2026-01-31,네이버,리타겟팅,VIP,1550824,88205,7596,6536380,52833938,29CM,이준혁
MKT-2601-1183,01월_무신사_인스타그램_CRM_1183,2026-01-01,2026-01-15,인스타그램,CRM,VIP,4714781,301133,18156,19291330,179947445,무신사,한도경
MKT-2601-0748,01월_29CM_틱톡_퍼포먼스_748,2026-01-14,2026-01-20,틱톡,퍼포먼스,MZ남성,376135,7134,152,4812034,28787145,29CM,송민아
MKT-2601-1385,01월_29CM_카카오_CRM_1385,2026-01-18,2026-01-28,카카오,CRM,MZ남성,2471457,196333,27360,21867286,147729637,29CM,김지현
MKT-2601-0575,01월_29CM_카카오_퍼포먼스_575,2026-01-10,2026-01-24,카카오,퍼포먼스,이탈방지,1005661,30181,716,10301582,53255920,29CM,최유진
MKT-2601-1265,01월_무신사_유튜브_CRM_1265,2026-01-02,2026-01-12,유튜브,CRM,브랜드관심,1953708,107807,7221,15979543,150096145,무신사,박서연
MKT-2601-0920,01월_무신사_네이버_리타겟팅_920,2026-01-22,2026-01-27,네이버,리타겟팅,MZ남성,630638,24843,1280,8266261,115680146,무신사,김지현
MKT-2601-0898,01월_무신사_네이버_리타겟팅_898,2026-01-06,2026-01-16,네이버,리타겟팅,2030여성,1739644,53885,3637,24802122,358437910,무신사,박서연
MKT-2601-0904,01월_29CM_네이버_리타겟팅_904,2026-01-23,2026-01-31,네이버,리타겟팅,신규유입,1251752,71046,3990,17918215,165278368,29CM,박서연
MKT-2601-0818,01월_무신사_인스타그램_리타겟팅_818,2026-01-07,2026-01-16,인스타그램,리타겟팅,브랜드관심,767845,30047,1990,10327465,119487841,무신사,박서연
MKT-2601-0571,01월_무신사_카카오_퍼포먼스_571,2026-01-07,2026-01-18,카카오,퍼포먼스,2030여성,195431,5281,262,2152500,6656818,무신사,송민아
MKT-2601-0520,01월_무신사_네이버_퍼포먼스_520,2026-01-02,2026-01-16,네이버,퍼포먼스,신규유입,1027320,31301,929,14504154,82501865,무신사,정하늘
MKT-2601-1146,01월_29CM_틱톡_리타겟팅_1146,2026-01-20,2026-01-25,틱톡,리타겟팅,VIP,1509020,49822,3164,16211737,239234304,29CM,최유진
MKT-2601-0325,01월_무신사_CRM_브랜딩_325,2026-01-08,2026-01-21,CRM,브랜딩,MZ남성,1470212,20410,266,7137417,15727257,무신사,윤세영
MKT-2601-1412,01월_무신사_앱푸시_CRM_1412,2026-01-20,2026-01-23,앱푸시,CRM,2030여성,688592,48742,4300,5500139,54968838,무신사,정하늘
MKT-2601-1034,01월_무신사_앱푸시_리타겟팅_1034,2026-01-10,2026-01-12,앱푸시,리타겟팅,브랜드관심,8039271,364166,33590,24430514,362615895,무신사,윤세영
MKT-2601-0501,01월_29CM_유튜브_퍼포먼스_501,2026-01-13,2026-01-18,유튜브,퍼포먼스,VIP,902940,25834,1275,8506488,49501884,29CM,최유진
MKT-2601-0866,01월_무신사_유튜브_리타겟팅_866,2026-01-01,2026-01-03,유튜브,리타겟팅,2030여성,2686602,130414,7824,10981813,158676152,무신사,윤세영
MKT-2601-0308,01월_29CM_CRM_브랜딩_308,2026-01-10,2026-01-22,CRM,브랜딩,VIP,703160,7153,66,8820662,17451657,29CM,최유진
MKT-2601-0374,01월_무신사_틱톡_브랜딩_374,2026-01-08,2026-01-16,틱톡,브랜딩,MZ남성,1469951,14441,157,9573360,19945783,무신사,송민아
MKT-2601-0607,01월_29CM_카카오_퍼포먼스_607,2026-01-08,2026-01-19,카카오,퍼포먼스,브랜드관심,997771,24720,851,7520063,35975232,29CM,이준혁
MKT-2601-0527,01월_무신사_네이버_퍼포먼스_527,2026-01-13,2026-01-25,네이버,퍼포먼스,MZ남성,737263,15663,652,5903100,30952971,무신사,정하늘
MKT-2601-1504,01월_무신사_CRM_CRM_1504,2026-01-06,2026-01-16,CRM,CRM,MZ남성,1904764,106183,12150,24531287,238790993,무신사,최유진
MKT-2601-0199,01월_무신사_카카오_브랜딩_199,2026-01-16,2026-01-27,카카오,브랜딩,MZ남성,2319503,16403,171,14728361,22127090,무신사,박서연
MKT-2601-0872,01월_29CM_유튜브_리타겟팅_872,2026-01-03,2026-01-11,유튜브,리타겟팅,2030여성,1379953,61591,5740,8507133,76993863,29CM,한도경
MKT-2601-1253,01월_무신사_유튜브_CRM_1253,2026-01-03,2026-01-17,유튜브,CRM,이탈방지,844638,60069,5166,7417811,56545251,무신사,이준혁
MKT-2601-1240,01월_무신사_유튜브_CRM_1240,2026-01-07,2026-01-14,유튜브,CRM,이탈방지,1452667,87372,5623,8515917,73491193,무신사,송민아
MKT-2601-0558,01월_무신사_카카오_퍼포먼스_558,2026-01-19,2026-01-27,카카오,퍼포먼스,2030여성,1505817,37870,1446,18136023,76625740,무신사,박서연
MKT-2601-0720,01월_무신사_CRM_퍼포먼스_720,2026-01-09,2026-01-15,CRM,퍼포먼스,VIP,1417328,30413,1068,4478549,21182758,무신사,김지현
MKT-2601-0090,01월_29CM_유튜브_브랜딩_90,2026-01-05,2026-01-15,유튜브,브랜딩,2030여성,3080467,37206,302,20548852,59537425,29CM,박서연
MKT-2601-0521,01월_29CM_네이버_퍼포먼스_521,2026-01-18,2026-01-31,네이버,퍼포먼스,VIP,1771743,38469,821,24885582,87388146,29CM,정하늘
MKT-2601-0331,01월_29CM_CRM_브랜딩_331,2026-01-18,2026-01-23,CRM,브랜딩,2030여성,1398334,21376,281,11554521,26609746,29CM,한도경
MKT-2601-0152,01월_무신사_네이버_브랜딩_152,2026-01-07,2026-01-10,네이버,브랜딩,VIP,512357,4392,26,5397923,16002619,무신사,김지현
MKT-2601-0897,01월_29CM_네이버_리타겟팅_897,2026-01-01,2026-01-03,네이버,리타겟팅,MZ남성,418691,19557,1658,4378065,43258169,29CM,윤세영
MKT-2601-1069,01월_무신사_CRM_리타겟팅_1069,2026-01-06,2026-01-16,CRM,리타겟팅,이탈방지,4014471,163838,11246,14952890,147746458,무신사,김지현
MKT-2601-1083,01월_29CM_CRM_리타겟팅_1083,2026-01-11,2026-01-14,CRM,리타겟팅,MZ남성,1395680,58519,3444,18264303,249139058,29CM,한도경
MKT-2601-0434,01월_무신사_인스타그램_퍼포먼스_434,2026-01-19,2026-01-30,인스타그램,퍼포먼스,MZ남성,3288711,87474,2608,24110094,102118861,무신사,최유진
MKT-2601-1190,01월_무신사_인스타그램_CRM_1190,2026-01-08,2026-01-21,인스타그램,CRM,MZ남성,1567059,85367,6545,22677312,138477308,무신사,윤세영
MKT-2601-1167,01월_무신사_틱톡_리타겟팅_1167,2026-01-17,2026-01-29,틱톡,리타겟팅,VIP,660528,37622,3605,3136480,33384653,무신사,이준혁
MKT-2601-1332,01월_29CM_네이버_CRM_1332,2026-01-24,2026-01-29,네이버,CRM,브랜드관심,1300879,111816,10235,9846820,71597272,29CM,최유진
MKT-2601-0555,01월_무신사_네이버_퍼포먼스_555,2026-01-13,2026-01-18,네이버,퍼포먼스,MZ남성,71724,1525,62,974828,3265382,무신사,최유진
MKT-2601-0629,01월_무신사_앱푸시_퍼포먼스_629,2026-01-06,2026-01-15,앱푸시,퍼포먼스,MZ남성,2886833,97165,3879,22346178,93380094,무신사,한도경
MKT-2601-0491,01월_무신사_유튜브_퍼포먼스_491,2026-01-02,2026-01-04,유튜브,퍼포먼스,VIP,2397900,69045,1909,17966959,91040479,무신사,이준혁
MKT-2601-0941,01월_무신사_네이버_리타겟팅_941,2026-01-10,2026-01-17,네이버,리타겟팅,이탈방지,2982048,211077,15477,11111785,143083817,무신사,윤세영
MKT-2601-1291,01월_무신사_네이버_CRM_1291,2026-01-24,2026-01-31,네이버,CRM,신규유입,1027831,70124,4141,10668544,66831208,무신사,윤세영
MKT-2601-1141,01월_29CM_틱톡_리타겟팅_1141,2026-01-17,2026-01-19,틱톡,리타겟팅,신규유입,1280800,65884,5172,17062333,240538082,29CM,박서연
MKT-2601-0462,01월_29CM_유튜브_퍼포먼스_462,2026-01-18,2026-01-21,유튜브,퍼포먼스,MZ남성,4857274,115106,5485,17287255,89150021,29CM,최유진
MKT-2601-0968,01월_무신사_카카오_리타겟팅_968,2026-01-20,2026-01-31,카카오,리타겟팅,VIP,693316,31110,2770,3943036,50334204,무신사,이준혁
MKT-2601-1201,01월_29CM_인스타그램_CRM_1201,2026-01-22,2026-01-31,인스타그램,CRM,이탈방지,2759820,143134,20359,10413127,70555722,29CM,김지현
MKT-2601-1246,01월_29CM_유튜브_CRM_1246,2026-01-22,2026-01-31,유튜브,CRM,MZ남성,1035385,75276,9408,15448758,119924117,29CM,정하늘
MKT-2601-0836,01월_29CM_유튜브_리타겟팅_836,2026-01-09,2026-01-11,유튜브,리타겟팅,브랜드관심,959790,45368,3065,12582456,182547935,29CM,윤세영
MKT-2601-0924,01월_무신사_네이버_리타겟팅_924,2026-01-08,2026-01-16,네이버,리타겟팅,2030여성,1981201,78522,7262,12951993,189494109,무신사,김지현
MKT-2601-0690,01월_무신사_CRM_퍼포먼스_690,2026-01-13,2026-01-26,CRM,퍼포먼스,브랜드관심,979241,28046,927,10615427,32529145,무신사,박서연
MKT-2601-0448,01월_무신사_유튜브_퍼포먼스_448,2026-01-13,2026-01-15,유튜브,퍼포먼스,신규유입,586673,17352,548,3859808,17911588,무신사,한도경
MKT-2601-0803,01월_무신사_인스타그램_리타겟팅_803,2026-01-05,2026-01-12,인스타그램,리타겟팅,VIP,3986677,211623,18419,29706709,440141099,무신사,박서연
MKT-2601-1468,01월_무신사_CRM_CRM_1468,2026-01-09,2026-01-19,CRM,CRM,VIP,4062637,233734,22804,15197760,104966056,무신사,이준혁
MKT-2601-0876,01월_29CM_유튜브_리타겟팅_876,2026-01-17,2026-01-25,유튜브,리타겟팅,신규유입,1295622,89763,6858,18036859,234468650,29CM,최유진
