식물ID,국명,학명,분류,서울적합도,내한성,내열성,일조요구,관수빈도,관리난이도,옥상적합,개화시기,단가_3치포트,단가_5치포트,사용빈도,고객선호도,실패율,추천조합
PLT-042,달리아,Dahlia pinnata,초화류,3.8,하,상,전일조,2~3회,3,중,7~10월,3500,10000,33,4.6,16,"살비아, 가우라"
PLT-043,글라디올러스,Gladiolus hybridus,초화류,4.0,중,상,전일조,2~3회,2,중,7~9월,2500,7500,31,4.3,13,"살비아, 가우라"
PLT-044,접시꽃,Alcea rosea,초화류,4.5,상,상,전일조,2~3회,2,중,6~8월,2000,6000,35,4.4,9,"벌개미취, 수크령"
PLT-045,풍접초,Cleome hassleriana,초화류,4.0,중,상,전일조,2~3회,2,중,7~9월,2000,6000,33,4.1,11,"라벤더, 세이지"
PLT-046,양귀비,Papaver rhoeas,초화류,4.0,중,중,전일조,1~2회,2,중,5~6월,1500,4500,26,4.5,13,"붓꽃, 수크령"
PLT-047,델피늄,Delphinium elatum,초화류,3.8,상,하,전일조,2~3회,3,중,5~7월,4000,12000,35,4.6,20,"수선화, 무스카리"
PLT-048,알리움,Allium giganteum,초화류,4.5,상,중,전일조,1~2회,2,중,5~6월,3500,10000,33,4.5,10,"비비추, 맥문동"
PLT-049,루피너스,Lupinus polyphyllus,초화류,3.8,상,하,전일조,2~3회,3,중,5~7월,4000,12000,25,4.5,16,"코스모스, 핑크뮬리"
PLT-050,아스틸베,Astilbe japonica,초화류,4.5,상,중,반음지,2~3회,2,중,6~8월,3000,9000,39,4.4,5,"원추리, 비비추"
PLT-051,헬레니움,Helenium autumnale,초화류,4.3,상,상,전일조,2~3회,2,중,8~10월,3000,9000,34,4.2,8,"루드베키아, 에키나시아"
PLT-052,가우라,Gaura lindheimeri,초화류,4.0,중,상,전일조,1~2회,2,상,5~10월,2500,7500,26,4.3,12,"붓꽃, 수크령"
PLT-053,베르베나,Verbena bonariensis,초화류,4.0,중,상,전일조,1~2회,2,상,6~9월,2000,6000,35,4.1,11,"벌개미취, 수크령"
PLT-054,살비아,Salvia nemorosa,초화류,4.5,상,상,전일조,1~2회,1,상,6~9월,2500,7500,30,4.4,5,"패랭이꽃, 타임"
PLT-055,오스테오스퍼뭄,Osteospermum ecklonis,초화류,3.5,하,상,전일조,2~3회,2,상,4~6월,2500,7500,30,4.3,18,"벌개미취, 수크령"
PLT-056,갈리아르디아,Gaillardia aristata,초화류,4.5,상,상,전일조,1~2회,1,상,6~9월,2000,6000,37,4.2,7,"패랭이꽃, 타임"
PLT-057,캄파눌라,Campanula medium,초화류,4.0,상,중,전일조,2~3회,2,중,5~7월,3000,9000,26,4.5,12,"패랭이꽃, 타임"
PLT-058,버베나,Verbena hybrida,초화류,3.8,중,상,전일조,2~3회,2,상,5~9월,2000,6000,35,4.0,16,"수선화, 무스카리"
PLT-059,야생화군락,Erigeron speciosus,초화류,4.8,상,상,전일조,1~2회,1,상,6~8월,2000,6000,32,4.1,2,"작약, 개나리"
PLT-060,홍화,Carthamus tinctorius,초화류,4.3,중,상,전일조,1~2회,1,중,6~8월,2000,6000,27,3.9,8,"원추리, 비비추"
PLT-061,칸나,Canna indica,초화류,3.5,하,상,전일조,2~3회,2,하,7~10월,4000,12000,23,4.4,16,"벌개미취, 수크령"
PLT-062,수국,Hydrangea macrophylla,관목,4.5,중,중,반음지,2~3회,2,중,6~8월,3500,12000,30,4.8,10,"철쭉, 비비추"
PLT-063,산철쭉,Rhododendron yedoense,관목,5.0,상,상,반음지,2~3회,2,중,4~5월,3000,10000,33,4.5,7,"사철나무, 맥문동"
PLT-064,눈향나무,Juniperus chinensis var. sargentii,관목,5.0,상,상,전일조,1~2회,1,상,없음,5000,15000,40,4.0,2,"라일락, 수선화"
PLT-065,회양목,Buxus koreana,관목,5.0,상,상,반음지,1~2회,1,상,없음,3000,9000,39,3.8,3,"개나리, 진달래"
PLT-066,조팝나무,Spiraea prunifolia,관목,5.0,상,상,전일조,1~2회,1,중,4~5월,3000,9000,37,4.3,2,"장미, 라벤더"
PLT-067,명자나무,Chaenomeles speciosa,관목,4.8,상,상,전일조,1~2회,1,중,3~4월,3000,9000,37,4.4,2,"철쭉, 비비추"
PLT-068,무궁화,Hibiscus syriacus,관목,5.0,상,상,전일조,2~3회,1,중,7~9월,4000,12000,34,4.3,2,"철쭉, 진달래"
PLT-069,장미,Rosa hybrida,관목,4.5,상,중,전일조,2~3회,3,중,5~10월,5000,15000,37,4.9,11,"회양목, 눈향나무"
PLT-070,매화,Prunus mume,관목,5.0,상,상,전일조,1~2회,2,중,2~3월,5000,15000,34,4.7,2,"맥문동, 비비추"
PLT-071,개나리,Forsythia koreana,관목,5.0,상,상,전일조,1~2회,1,중,3~4월,3000,9000,41,4.4,2,"맥문동, 비비추"
PLT-072,철쭉,Rhododendron schlippenbachii,관목,5.0,상,상,반음지,2~3회,2,중,4~5월,3500,11000,31,4.5,2,"장미, 라벤더"
PLT-073,진달래,Rhododendron mucronulatum,관목,5.0,상,상,전일조,1~2회,1,중,3~4월,3000,9000,34,4.6,2,"사철나무, 맥문동"
PLT-074,남천,Nandina domestica,관목,4.0,중,상,반음지,1~2회,1,중,6~7월,4000,12000,28,4.3,9,"회양목, 눈향나무"
PLT-075,사철나무,Euonymus japonicus,관목,5.0,상,상,반음지,1~2회,1,상,없음,2500,8000,40,4.0,2,"철쭉, 비비추"
PLT-076,주목,Taxus cuspidata,관목,5.0,상,중,반음지,1~2회,1,중,없음,8000,25000,38,4.0,2,"라일락, 수선화"
PLT-077,배롱나무,Lagerstroemia indica,관목,4.8,상,상,전일조,1~2회,2,하,7~9월,8000,25000,30,4.7,4,"라일락, 수선화"
PLT-078,목수국,Hydrangea paniculata,관목,4.5,상,중,전일조,2~3회,2,중,7~9월,5000,15000,34,4.6,7,"철쭉, 비비추"
PLT-079,불두화,Viburnum opulus,관목,5.0,상,상,반음지,1~2회,2,중,5~6월,5000,15000,31,4.5,6,"철쭉, 진달래"
PLT-080,뮤렌베키아,Muehlenbeckia complexa,관목,3.5,중,중,반음지,2~3회,2,상,없음,3000,9000,33,3.8,13,"장미, 라벤더"
PLT-081,위성류,Tamarix chinensis,관목,4.5,상,상,전일조,1~2회,1,상,4~9월,5000,15000,29,4.2,6,"개나리, 진달래"
PLT-082,병꽃나무,Weigela florida,관목,5.0,상,상,전일조,1~2회,1,중,5~6월,4000,12000,39,4.4,2,"철쭉, 비비추"
PLT-083,황매화,Kerria japonica,관목,5.0,상,상,반음지,1~2회,1,중,4~5월,3000,9000,33,4.3,2,"사철나무, 맥문동"
PLT-084,자산홍,Rhododendron obtusum,관목,4.5,상,상,전일조,2~3회,2,중,4~5월,3500,11000,29,4.5,8,"철쭉, 비비추"
PLT-085,홍가시나무,Photinia glabra,관목,4.0,중,상,전일조,1~2회,2,중,4~5월,5000,15000,33,4.3,14,"철쭉, 진달래"
PLT-086,쥐똥나무,Ligustrum obtusifolium,관목,5.0,상,상,전일조,1~2회,1,상,5~6월,2500,8000,39,3.7,2,"맥문동, 비비추"
PLT-087,개쉬땅나무,Sorbaria sorbifolia,관목,5.0,상,상,전일조,1~2회,1,중,6~7월,3500,10000,43,3.9,3,"개나리, 진달래"
PLT-088,덜꿩나무,Viburnum erosum,관목,5.0,상,상,반음지,1~2회,1,중,4~5월,3500,10000,38,3.8,2,"철쭉, 비비추"
PLT-089,화살나무,Euonymus alatus,관목,5.0,상,상,전일조,1~2회,1,중,없음,4000,12000,37,4.2,2,"맥문동, 비비추"
PLT-090,수수꽃다리,Syringa oblata,관목,5.0,상,상,전일조,1~2회,1,중,4~5월,5000,15000,31,4.6,2,"라일락, 수선화"
PLT-091,라일락,Syringa vulgaris,관목,4.5,상,상,전일조,1~2회,2,중,4~5월,6000,18000,40,4.7,7,"철쭉, 비비추"
PLT-092,국수나무,Stephanandra incisa,관목,5.0,상,상,반음지,1~2회,1,중,5~6월,3000,9000,42,3.9,2,"회양목, 눈향나무"
PLT-093,낙상홍,Ilex serrata,관목,4.8,상,상,전일조,2~3회,2,중,없음,5000,15000,36,4.4,7,"수국, 호스타"
PLT-094,함박꽃나무,Magnolia sieboldii,관목,4.8,상,중,반음지,2~3회,2,중,5~6월,8000,25000,32,4.7,4,"맥문동, 비비추"
PLT-095,협죽도,Nerium oleander,관목,3.5,하,상,전일조,1~2회,2,중,6~9월,4000,12000,30,4.0,16,"맥문동, 비비추"
PLT-096,보리수나무,Elaeagnus umbellata,관목,5.0,상,상,전일조,1~2회,1,중,5월,4000,12000,31,3.9,2,"맥문동, 비비추"
PLT-097,팥꽃나무,Daphne genkwa,관목,4.5,상,중,전일조,2~3회,3,중,3~4월,8000,25000,36,4.8,13,"회양목, 눈향나무"
PLT-098,좀작살나무,Callicarpa japonica,관목,4.8,상,상,전일조,1~2회,1,중,7~8월,4000,12000,37,4.3,2,"철쭉, 진달래"
PLT-099,찔레꽃,Rosa multiflora,관목,5.0,상,상,전일조,1~2회,1,상,5~6월,2500,8000,32,4.2,2,"철쭉, 진달래"
PLT-100,해당화,Rosa rugosa,관목,5.0,상,상,전일조,1~2회,1,상,5~7월,3500,10000,34,4.4,2,"라일락, 수선화"
PLT-101,모란,Paeonia suffruticosa,관목,4.8,상,중,전일조,2~3회,3,하,4~5월,15000,45000,38,4.9,7,"개나리, 진달래"
PLT-102,억새,Miscanthus sinensis,그라스,5.0,상,상,전일조,1~2회,1,중,9~10월,3000,9000,26,4.3,2,"블루페스큐, 패랭이꽃"
PLT-103,수크령,Pennisetum alopecuroides,그라스,5.0,상,상,전일조,1~2회,1,상,8~9월,2500,7500,36,4.2,2,"블루페스큐, 패랭이꽃"
PLT-104,갈대,Phragmites australis,그라스,5.0,상,상,전일조,3~4회,1,하,8~10월,2000,6000,31,3.8,2,"핑크뮬리, 코스모스"
PLT-105,블루페스큐,Festuca glauca,그라스,4.5,상,중,전일조,1~2회,1,상,5~6월,2500,7500,34,4.4,2,"핑크뮬리, 코스모스"
PLT-106,카렉스,Carex morrowii,그라스,5.0,상,중,반음지,1~2회,1,중,4~5월,2500,7500,32,4.1,2,"구절초, 쑥부쟁이"
PLT-107,페니세텀,Pennisetum setaceum,그라스,3.5,하,상,전일조,1~2회,2,상,7~9월,3000,9000,21,4.3,17,"비비추, 호스타"
PLT-108,파니쿰,Panicum virgatum,그라스,4.5,상,상,전일조,1~2회,1,중,8~9월,3000,9000,35,4.1,3,"루드베키아, 에키나시아"
PLT-109,모닝라이트,Miscanthus sinensis 'Morning Light',그라스,5.0,상,상,전일조,1~2회,1,중,9~10월,5000,15000,35,4.5,2,"블루페스큐, 패랭이꽃"
PLT-110,핑크뮬리,Muhlenbergia capillaris,그라스,4.0,중,상,전일조,1~2회,1,상,9~11월,4000,12000,21,4.8,11,"블루페스큐, 패랭이꽃"
PLT-111,제브라그라스,Miscanthus sinensis 'Zebrinus',그라스,5.0,상,상,전일조,1~2회,1,중,9~10월,5000,15000,30,4.4,2,"구절초, 쑥부쟁이"
PLT-112,스팁파,Stipa tenuissima,그라스,4.0,중,상,전일조,1회,1,상,6~8월,3000,9000,21,4.3,11,"구절초, 쑥부쟁이"
PLT-113,오리새,Dactylis glomerata,그라스,4.5,상,상,전일조,1~2회,1,상,5~7월,2000,6000,25,3.7,3,"비비추, 호스타"
PLT-114,띠,Imperata cylindrica,그라스,5.0,상,상,전일조,1~2회,1,중,5~7월,2000,6000,37,3.8,2,"핑크뮬리, 코스모스"
PLT-115,새,Arundinella hirta,그라스,5.0,상,상,전일조,1~2회,1,상,8~9월,2000,6000,38,3.7,2,"모닝라이트, 구절초"
PLT-116,산새풀,Calamagrostis brachytricha,그라스,5.0,상,중,반음지,1~2회,1,중,7~9월,2500,7500,36,4.0,2,"블루페스큐, 패랭이꽃"
PLT-117,대나무,Phyllostachys nigra,그라스,4.5,상,상,전일조,2~3회,2,하,없음,8000,25000,33,4.3,7,"루드베키아, 에키나시아"
PLT-118,조릿대,Sasa borealis,그라스,5.0,상,중,반음지,1~2회,1,중,없음,3000,9000,28,3.9,3,"핑크뮬리, 코스모스"
PLT-119,실새풀,Calamagrostis epigejos,그라스,5.0,상,상,전일조,1~2회,1,상,6~8월,2000,6000,27,3.8,2,"모닝라이트, 구절초"
PLT-120,흰줄무늬억새,Miscanthus sinensis 'Variegatus',그라스,5.0,상,상,전일조,1~2회,1,중,9~10월,5000,15000,30,4.4,2,"핑크뮬리, 코스모스"
PLT-121,갈사초,Carex pendula,그라스,4.8,상,중,반음지,2~3회,1,중,5~6월,3500,10000,35,4.0,2,"핑크뮬리, 코스모스"
PLT-122,방울새풀,Briza media,그라스,4.3,상,상,전일조,1~2회,1,상,5~7월,2500,7500,31,4.2,4,"핑크뮬리, 코스모스"
PLT-123,벗풀,Sagittaria trifolia,그라스,4.5,상,상,전일조,3~4회,2,하,7~9월,3000,9000,27,3.8,8,"루드베키아, 에키나시아"
PLT-124,부들,Typha orientalis,그라스,5.0,상,상,전일조,3~4회,1,하,6~8월,2500,7500,32,3.9,2,"핑크뮬리, 코스모스"
PLT-125,나래새,Stipa sibirica,그라스,4.8,상,상,전일조,1~2회,1,상,6~7월,2500,7500,29,4.0,2,"구절초, 쑥부쟁이"
PLT-126,개밀,Elymus tsukushiensis,그라스,5.0,상,상,전일조,1~2회,1,상,5~6월,2000,6000,30,3.6,2,"구절초, 쑥부쟁이"
PLT-127,라벤더,Lavandula angustifolia,허브,4.0,중,중,전일조,1~2회,2,상,6~8월,3000,9000,28,4.8,13,"베르가못, 에키나시아"
PLT-128,로즈마리,Salvia rosmarinus,허브,3.5,하,상,전일조,1~2회,2,상,3~5월,3000,9000,17,4.7,16,"라벤더, 세이지"
PLT-129,타임,Thymus vulgaris,허브,4.0,중,상,전일조,1~2회,1,상,5~7월,2500,7500,31,4.5,5,"로즈마리, 라벤더"
PLT-130,세이지,Salvia officinalis,허브,4.0,중,상,전일조,1~2회,2,상,5~7월,2500,7500,25,4.4,12,"캐모마일, 라벤더"
PLT-131,바질,Ocimum basilicum,허브,3.0,하,상,전일조,2~3회,2,중,6~9월,2000,6000,20,4.5,20,"로즈마리, 타임"
PLT-132,민트,Mentha arvensis,허브,4.5,상,상,반음지,2~3회,1,중,7~9월,2000,6000,28,4.4,2,"라벤더, 세이지"
PLT-133,레몬밤,Melissa officinalis,허브,4.0,중,중,반음지,2~3회,1,중,6~8월,2500,7500,23,4.3,10,"베르가못, 에키나시아"
PLT-134,오레가노,Origanum vulgare,허브,4.0,중,상,전일조,1~2회,1,상,6~8월,2000,6000,21,4.2,6,"민트, 레몬밤"
PLT-135,캐모마일,Matricaria chamomilla,허브,4.0,중,중,전일조,1~2회,1,중,5~6월,2500,7500,26,4.5,10,"라벤더, 세이지"
PLT-136,딜,Anethum graveolens,허브,3.5,중,중,전일조,1~2회,2,중,6~8월,2000,6000,20,4.1,17,"로즈마리, 타임"
PLT-137,차이브,Allium schoenoprasum,허브,4.5,상,상,전일조,2~3회,1,상,5~6월,2000,6000,35,4.3,7,"로즈마리, 타임"
PLT-138,애플민트,Mentha suaveolens,허브,4.5,상,상,반음지,2~3회,1,중,7~8월,2000,6000,23,4.4,6,"로즈마리, 타임"
PLT-139,페퍼민트,Mentha piperita,허브,4.5,상,상,반음지,2~3회,1,중,7~9월,2000,6000,28,4.5,5,"바질, 차이브"
PLT-140,스피어민트,Mentha spicata,허브,4.5,상,상,반음지,2~3회,1,중,7~9월,2000,6000,34,4.4,6,"로즈마리, 타임"
PLT-141,레몬그라스,Cymbopogon citratus,허브,2.5,하,상,전일조,2~3회,2,중,없음,3000,9000,23,4.2,23,"베르가못, 에키나시아"
PLT-142,펜넬,Foeniculum vulgare,허브,4.0,중,상,전일조,1~2회,2,중,7~8월,2500,7500,20,4.3,10,"바질, 차이브"
PLT-143,코리앤더,Coriandrum sativum,허브,3.5,중,중,전일조,1~2회,2,중,5~6월,2000,6000,24,4.1,14,"민트, 레몬밤"
PLT-144,루꼴라,Eruca vesicaria,허브,3.5,중,중,전일조,2~3회,1,중,4~5월,1500,4500,29,3.9,11,"로즈마리, 타임"
PLT-145,파슬리,Petroselinum crispum,허브,3.5,중,중,전일조,2~3회,2,중,없음,2000,6000,27,4.0,14,"로즈마리, 타임"
PLT-146,히솝,Hyssopus officinalis,허브,4.0,중,상,전일조,1~2회,2,상,7~9월,2500,7500,24,4.2,11,"라벤더, 세이지"
PLT-147,보리지,Borago officinalis,허브,3.5,중,중,전일조,1~2회,1,중,5~8월,2000,6000,21,4.3,15,"민트, 레몬밤"
PLT-148,에키나시아허브,Echinacea pallida,허브,4.5,상,상,전일조,1~2회,1,상,6~8월,3000,9000,29,4.4,5,"베르가못, 에키나시아"
PLT-149,마조람,Origanum majorana,허브,3.5,하,상,전일조,1~2회,2,상,7~8월,2500,7500,25,4.1,19,"민트, 레몬밤"
PLT-150,서비어리,Satureja hortensis,허브,3.8,중,상,전일조,1~2회,2,상,7~8월,2500,7500,19,4.0,16,"민트, 레몬밤"
PLT-151,탄지,Tanacetum vulgare,허브,4.5,상,상,전일조,1~2회,1,상,7~9월,2000,6000,27,3.8,2,"라벤더, 세이지"
PLT-152,베르가못,Monarda didyma,허브,4.0,상,중,전일조,2~3회,2,중,6~8월,3000,9000,26,4.5,10,"민트, 레몬밤"
PLT-153,레몬버베나,Aloysia citrodora,허브,3.0,하,상,전일조,1~2회,2,중,7~9월,3500,10000,19,4.3,21,"바질, 차이브"
PLT-154,머위,Petasites japonicus,허브,5.0,상,중,반음지,2~3회,1,중,3~4월,2000,6000,34,3.8,2,"라벤더, 세이지"
PLT-155,쑥,Artemisia princeps,허브,5.0,상,상,전일조,1~2회,1,중,없음,1500,4500,35,3.9,2,"로즈마리, 타임"
PLT-156,익모초,Leonurus japonicus,허브,5.0,상,상,전일조,1~2회,1,중,7~9월,2000,6000,37,3.7,2,"바질, 차이브"
PLT-157,방아풀,Agastache rugosa,허브,4.8,상,상,전일조,1~2회,1,중,7~9월,2000,6000,36,4.1,2,"캐모마일, 라벤더"
PLT-158,감초,Glycyrrhiza uralensis,허브,4.5,상,상,전일조,1~2회,2,중,6~8월,4000,12000,34,4.2,9,"베르가못, 에키나시아"
PLT-159,인동초,Lonicera japonica,허브,5.0,상,상,전일조,1~2회,1,중,5~7월,3000,9000,31,4.3,2,"바질, 차이브"
PLT-160,당귀,Angelica gigas,허브,4.8,상,중,반음지,2~3회,2,중,7~8월,4000,12000,34,4.0,3,"민트, 레몬밤"
PLT-161,황기,Astragalus membranaceus,허브,4.8,상,상,전일조,1~2회,2,중,6~8월,4000,12000,34,4.1,6,"라벤더, 세이지"
PLT-162,담쟁이,Parthenocissus tricuspidata,덩굴,5.0,상,상,반음지,1~2회,1,상,없음,3000,9000,30,4.3,2,"클레마티스, 장미"
PLT-163,등나무,Wisteria floribunda,덩굴,5.0,상,상,전일조,2~3회,2,하,4~5월,5000,15000,32,4.8,3,"능소화, 등나무"
PLT-164,인동덩굴,Lonicera japonica,덩굴,5.0,상,상,전일조,1~2회,1,중,5~7월,3000,9000,30,4.3,2,"클레마티스, 장미"
PLT-165,클레마티스,Clematis patens,덩굴,4.5,상,중,전일조,2~3회,3,중,4~6월,5000,15000,29,4.7,10,"으름, 머루"
PLT-166,능소화,Campsis grandiflora,덩굴,5.0,상,상,전일조,1~2회,1,중,7~9월,5000,15000,28,4.6,2,"클레마티스, 장미"
PLT-167,으름,Akebia quinata,덩굴,5.0,상,상,반음지,1~2회,1,중,4~5월,4000,12000,32,4.1,2,"클레마티스, 장미"
PLT-168,머루,Vitis coignetiae,덩굴,5.0,상,상,전일조,1~2회,1,중,없음,4000,12000,30,3.9,2,"능소화, 등나무"
PLT-169,다래,Actinidia arguta,덩굴,5.0,상,상,전일조,2~3회,2,중,5~6월,5000,15000,38,4.2,2,"클레마티스, 장미"
PLT-170,아이비,Hedera helix,덩굴,4.0,중,중,반음지,1~2회,1,상,없음,2500,7500,25,4.1,9,"으름, 머루"
PLT-171,붉은인동,Lonicera sempervirens,덩굴,4.0,중,상,전일조,1~2회,2,중,5~9월,4000,12000,30,4.4,12,"담쟁이, 아이비"
PLT-172,멀꿀,Stauntonia hexaphylla,덩굴,3.5,중,중,반음지,2~3회,2,중,4~5월,5000,15000,29,4.2,16,"담쟁이, 아이비"
PLT-173,으아리,Clematis terniflora,덩굴,5.0,상,상,전일조,1~2회,1,중,7~9월,3500,10000,30,4.3,2,"클레마티스, 장미"
PLT-174,노박덩굴,Celastrus orbiculatus,덩굴,5.0,상,상,전일조,1~2회,1,중,없음,3500,10000,35,3.8,2,"능소화, 등나무"
PLT-175,산등,Wisteria sinensis,덩굴,4.8,상,상,전일조,1~2회,2,하,4~5월,5000,15000,36,4.7,3,"담쟁이, 아이비"
PLT-176,트럼펫덩굴,Campsis radicans,덩굴,4.5,상,상,전일조,1~2회,2,중,7~9월,5000,15000,26,4.4,9,"담쟁이, 아이비"
PLT-177,자작나무,Betula platyphylla,교목,4.5,상,중,전일조,2~3회,2,하,없음,,,23,4.6,6,"구절초, 잔디"
PLT-178,단풍나무,Acer palmatum,교목,5.0,상,상,전일조,2~3회,2,하,없음,,,35,4.8,7,"비비추, 맥문동"
PLT-179,산수유,Cornus officinalis,교목,5.0,상,상,전일조,1~2회,1,하,3~4월,,,36,4.6,2,"단풍나무, 철쭉"
