주문번호,주문일,주문시간,채널,카테고리,상품명,SKU,수량,단가,합계,배송지역,주문상태
MS-260302-0036,2026-03-02,07:55,무신사,디퓨저,탠저린 블랙 디퓨저,LB-DF-002,1,19900,19900,경기,반품완료
MS-260302-0035,2026-03-02,08:53,무신사,핸드크림,바질 인스파이어 핸드크림,LB-HC-001,1,15200,15200,서울,배송완료
KK-260302-0023,2026-03-02,09:13,카카오선물하기,디퓨저,메이 라일락 디퓨저,LB-DF-004,2,21000,42000,경기,배송완료
MS-260302-0024,2026-03-02,09:19,무신사,디퓨저,포레스트 던 디퓨저,LB-DF-001,2,19900,39800,서울,배송완료
MS-260302-0034,2026-03-02,10:07,무신사,선물세트,룸스프레이&디퓨저 세트,LB-SET-005,1,42700,42700,경남,배송완료
OY-260302-0018,2026-03-02,10:35,올리브영,섬유향수,민티 섬유향수,LB-FF-008,3,15800,47400,서울,배송완료
KK-260302-0024,2026-03-02,10:42,카카오선물하기,향수,로즈 제스트 오 드 퍼퓸,LB-EDP-004,1,59000,59000,인천,배송완료
MS-260302-0023,2026-03-02,10:44,무신사,섬유향수,크리미 우드 섬유향수,LB-FF-002,1,15000,15000,서울,배송완료
MS-260302-0032,2026-03-02,10:45,무신사,섬유향수,민티 섬유향수,LB-FF-008,1,15000,15000,서울,배송완료
LB-260302-0014,2026-03-02,11:00,자사몰,선물세트,룸스프레이&디퓨저 세트,LB-SET-005,1,45000,45000,인천,배송완료
CM-260302-0011,2026-03-02,11:37,29CM,디퓨저,포레스트 던 디퓨저,LB-DF-001,1,20300,20300,인천,반품완료
MS-260302-0021,2026-03-02,11:48,무신사,섬유향수,와일드 가든 섬유향수,LB-FF-006,1,15000,15000,충북,배송완료
OY-260302-0019,2026-03-02,11:48,올리브영,섬유향수,선 드라이 코튼 섬유향수,LB-FF-009,1,15800,15800,경기,배송완료
CM-260302-0010,2026-03-02,11:50,29CM,디퓨저,탠저린 블랙 디퓨저,LB-DF-002,2,20300,40600,강원,배송완료
KK-260302-0026,2026-03-02,12:12,카카오선물하기,선물세트,섬유향수 듀오 세트,LB-SET-001,1,31600,31600,경기,교환완료
KK-260302-0030,2026-03-02,12:27,카카오선물하기,선물세트,섬유향수 듀오 세트,LB-SET-001,1,31600,31600,서울,배송중
KK-260302-0031,2026-03-02,12:30,카카오선물하기,핸드크림,티 슬로우 핸드크림,LB-HC-002,1,16000,16000,서울,배송완료
MS-260302-0019,2026-03-02,12:57,무신사,향수,캠퍼스 피크닉 오 드 퍼퓸,LB-EDP-006,1,52200,52200,경북,배송완료
OY-260302-0014,2026-03-02,13:19,올리브영,핸드크림,티 슬로우 핸드크림,LB-HC-002,1,16000,16000,부산,배송완료
LB-260302-0015,2026-03-02,13:33,자사몰,선물세트,아로마 오일 롤온&괄사 세트,LB-SET-003,2,34000,68000,전북,배송완료
MS-260302-0037,2026-03-02,13:42,무신사,선물세트,섬유향수&핸드크림 세트,LB-SET-002,1,30200,30200,서울,배송완료
MS-260302-0026,2026-03-02,13:48,무신사,핸드크림,바질 인스파이어 핸드크림,LB-HC-001,1,15200,15200,경기,교환완료
OY-260302-0010,2026-03-02,14:17,올리브영,룸스프레이,포레스트 던 룸스프레이,LB-RS-003,2,24000,48000,경기,배송완료
KK-260302-0025,2026-03-02,14:18,카카오선물하기,디퓨저,타이니데스크 콜라보 디퓨저,LB-DF-005,3,37000,111000,경남,배송완료
MS-260302-0029,2026-03-02,15:17,무신사,섬유향수,선 드라이 섬유향수,LB-FF-005,1,15000,15000,서울,배송완료
MS-260302-0027,2026-03-02,15:33,무신사,핸드크림,플라워 소사이어티 핸드크림,LB-HC-003,2,15200,30400,경북,배송완료
MS-260302-0025,2026-03-02,16:07,무신사,디퓨저,와일드 가든 디퓨저,LB-DF-003,2,19900,39800,대전,교환완료
CM-260302-0008,2026-03-02,16:39,29CM,향수,플라워 소사이어티 오 드 퍼퓸,LB-EDP-007,1,57200,57200,경남,배송완료
OY-260302-0016,2026-03-02,16:40,올리브영,룸스프레이,소호 유자 룸스프레이,LB-RS-002,1,24000,24000,울산,배송완료
LB-260302-0012,2026-03-02,16:42,자사몰,향수,스팀 글로스 오 드 퍼퓸,LB-EDP-005,2,55000,110000,대전,배송완료
LB-260302-0011,2026-03-02,16:49,자사몰,룸스프레이,포레스트 던 룸스프레이,LB-RS-003,1,24000,24000,경기,배송완료
KK-260302-0028,2026-03-02,17:09,카카오선물하기,선물세트,섬유향수&디퓨저 세트,LB-SET-004,1,36800,36800,경기,배송완료
LB-260302-0013,2026-03-02,17:17,자사몰,향수,스노우 사이 오 드 퍼퓸,LB-EDP-001,3,55000,165000,인천,배송완료
OY-260302-0023,2026-03-02,17:46,올리브영,섬유향수,헤베 섬유향수,LB-FF-004,1,15800,15800,광주,반품완료
CM-260302-0013,2026-03-02,17:55,29CM,선물세트,섬유향수 듀오 세트,LB-SET-001,1,30600,30600,서울,배송완료
KK-260302-0019,2026-03-02,18:03,카카오선물하기,선물세트,아로마 오일 롤온&괄사 세트,LB-SET-003,1,34000,34000,제주,배송완료
CM-260302-0007,2026-03-02,18:04,29CM,디퓨저,메이 라일락 디퓨저,LB-DF-004,1,20300,20300,인천,반품완료
OY-260302-0013,2026-03-02,18:06,올리브영,룸스프레이,스틸 웨이브 룸스프레이,LB-RS-001,1,24000,24000,충북,교환완료
OY-260302-0012,2026-03-02,18:17,올리브영,섬유향수,선 드라이 코튼 섬유향수,LB-FF-009,1,15800,15800,경기,배송완료
MS-260302-0028,2026-03-02,18:41,무신사,섬유향수,선 드라이 코튼 섬유향수,LB-FF-009,2,15000,30000,대구,배송완료
CM-260302-0012,2026-03-02,19:02,29CM,선물세트,섬유향수&핸드크림 세트,LB-SET-002,1,30800,30800,경기,배송완료
MS-260302-0033,2026-03-02,19:04,무신사,섬유향수,칠 섬유향수,LB-FF-003,2,15000,30000,서울,배송완료
MS-260302-0031,2026-03-02,19:19,무신사,향수,스노우 사이 오 드 퍼퓸,LB-EDP-001,1,52200,52200,서울,배송완료
KK-260302-0022,2026-03-02,19:29,카카오선물하기,선물세트,아로마 오일 롤온&괄사 세트,LB-SET-003,2,34000,68000,경기,교환완료
OY-260302-0009,2026-03-02,19:44,올리브영,섬유향수,요이 섬유향수,LB-FF-007,1,15800,15800,서울,교환완료
OY-260302-0017,2026-03-02,20:21,올리브영,섬유향수,와일드 가든 섬유향수,LB-FF-006,1,15800,15800,경기,배송완료
OY-260302-0022,2026-03-02,20:25,올리브영,디퓨저,와일드 가든 디퓨저,LB-DF-003,1,21000,21000,서울,교환완료
KK-260302-0021,2026-03-02,20:45,카카오선물하기,향수,캠퍼스 피크닉 오 드 퍼퓸,LB-EDP-006,1,55000,55000,서울,배송완료
OY-260302-0015,2026-03-02,20:47,올리브영,디퓨저,포레스트 던 디퓨저,LB-DF-001,1,21000,21000,경기,배송완료
OY-260302-0020,2026-03-02,20:54,올리브영,섬유향수,크리미 우드 섬유향수,LB-FF-002,2,15800,31600,경기,배송완료
KK-260302-0032,2026-03-02,20:57,카카오선물하기,선물세트,섬유향수 듀오 세트,LB-SET-001,1,31600,31600,서울,배송완료
MS-260302-0020,2026-03-02,20:58,무신사,디퓨저,메이 라일락 디퓨저,LB-DF-004,2,19900,39800,서울,교환완료
KK-260302-0027,2026-03-02,21:28,카카오선물하기,선물세트,섬유향수 듀오 세트,LB-SET-001,1,31600,31600,충남,배송완료
CM-260302-0014,2026-03-02,21:37,29CM,디퓨저,탠저린 블랙 디퓨저,LB-DF-002,1,20300,20300,서울,배송완료
MS-260302-0022,2026-03-02,22:12,무신사,향수,스노우 사이 오 드 퍼퓸,LB-EDP-001,2,52200,104400,세종,교환완료
LB-260302-0010,2026-03-02,22:44,자사몰,향수,클라우드 사이 오 드 퍼퓸,LB-EDP-002,2,55000,110000,서울,배송완료
KK-260303-0034,2026-03-03,02:34,카카오선물하기,선물세트,룸스프레이&디퓨저 세트,LB-SET-005,1,45000,45000,서울,배송완료
KK-260303-0039,2026-03-03,03:59,카카오선물하기,선물세트,룸스프레이&디퓨저 세트,LB-SET-005,1,45000,45000,부산,배송완료
KK-260303-0042,2026-03-03,05:01,카카오선물하기,선물세트,아로마 오일 롤온&괄사 세트,LB-SET-003,2,34000,68000,경기,배송완료
CM-260303-0015,2026-03-03,05:02,29CM,섬유향수,요이 섬유향수,LB-FF-007,1,15300,15300,경기,배송완료
MS-260303-0048,2026-03-03,07:29,무신사,섬유향수,사이 섬유향수,LB-FF-001,1,15000,15000,경기,배송완료
OY-260303-0034,2026-03-03,07:41,올리브영,핸드크림,티 슬로우 핸드크림,LB-HC-002,3,16000,48000,서울,배송완료
KK-260303-0033,2026-03-03,07:48,카카오선물하기,디퓨저,포레스트 던 디퓨저,LB-DF-001,1,21000,21000,경남,반품완료
MS-260303-0047,2026-03-03,07:54,무신사,선물세트,섬유향수&디퓨저 세트,LB-SET-004,2,34900,69800,서울,배송완료
KK-260303-0036,2026-03-03,08:16,카카오선물하기,선물세트,아로마 오일 롤온&괄사 세트,LB-SET-003,1,34000,34000,대전,배송완료
LB-260303-0016,2026-03-03,08:34,자사몰,섬유향수,요이 섬유향수,LB-FF-007,1,15800,15800,충북,배송완료
MS-260303-0046,2026-03-03,08:43,무신사,핸드크림,바질 인스파이어 핸드크림,LB-HC-001,1,15200,15200,부산,배송완료
OY-260303-0033,2026-03-03,09:04,올리브영,선물세트,아로마 오일 롤온&괄사 세트,LB-SET-003,1,34000,34000,경기,반품완료
KK-260303-0044,2026-03-03,09:09,카카오선물하기,섬유향수,칠 섬유향수,LB-FF-003,1,15800,15800,광주,반품완료
OY-260303-0026,2026-03-03,10:04,올리브영,핸드크림,티 슬로우 핸드크림,LB-HC-002,2,16000,32000,부산,배송완료
CM-260303-0017,2026-03-03,11:07,29CM,섬유향수,와일드 가든 섬유향수,LB-FF-006,1,15300,15300,경북,배송완료
LB-260303-0018,2026-03-03,11:08,자사몰,향수,스노우 사이 오 드 퍼퓸,LB-EDP-001,1,55000,55000,대전,배송완료
OY-260303-0029,2026-03-03,11:09,올리브영,핸드크림,바질 인스파이어 핸드크림,LB-HC-001,2,16000,32000,서울,배송완료
KK-260303-0043,2026-03-03,11:25,카카오선물하기,선물세트,룸스프레이&디퓨저 세트,LB-SET-005,1,45000,45000,서울,배송완료
LB-260303-0021,2026-03-03,12:11,자사몰,섬유향수,선 드라이 섬유향수,LB-FF-005,2,15800,31600,충북,교환완료
KK-260303-0045,2026-03-03,12:18,카카오선물하기,선물세트,룸스프레이&디퓨저 세트,LB-SET-005,1,45000,45000,경기,배송완료
KK-260303-0035,2026-03-03,12:43,카카오선물하기,선물세트,룸스프레이&디퓨저 세트,LB-SET-005,1,45000,45000,서울,배송완료
CM-260303-0016,2026-03-03,13:15,29CM,향수,캠퍼스 피크닉 오 드 퍼퓸,LB-EDP-006,1,53300,53300,강원,배송완료
MS-260303-0041,2026-03-03,13:26,무신사,핸드크림,티 슬로우 핸드크림,LB-HC-002,1,15200,15200,대구,배송완료
LB-260303-0017,2026-03-03,13:42,자사몰,향수,아트 북 오 드 퍼퓸,LB-EDP-009,1,59000,59000,경북,배송중
CM-260303-0018,2026-03-03,14:09,29CM,디퓨저,와일드 가든 디퓨저,LB-DF-003,1,20300,20300,부산,배송완료
OY-260303-0028,2026-03-03,14:25,올리브영,디퓨저,포레스트 던 디퓨저,LB-DF-001,1,21000,21000,경기,배송완료
MS-260303-0049,2026-03-03,14:29,무신사,섬유향수,크리미 우드 섬유향수,LB-FF-002,1,15000,15000,인천,배송완료
MS-260303-0044,2026-03-03,15:05,무신사,섬유향수,와일드 가든 섬유향수,LB-FF-006,2,15000,30000,충남,배송완료
KK-260303-0040,2026-03-03,15:24,카카오선물하기,향수,스노우 사이 오 드 퍼퓸,LB-EDP-001,1,55000,55000,경기,배송완료
LB-260303-0020,2026-03-03,15:37,자사몰,향수,캠퍼스 피크닉 오 드 퍼퓸,LB-EDP-006,2,55000,110000,경북,배송중
OY-260303-0031,2026-03-03,16:00,올리브영,섬유향수,헤베 섬유향수,LB-FF-004,1,15800,15800,서울,배송완료
OY-260303-0030,2026-03-03,16:18,올리브영,디퓨저,와일드 가든 디퓨저,LB-DF-003,1,21000,21000,경기,교환완료
MS-260303-0050,2026-03-03,16:32,무신사,핸드크림,플라워 소사이어티 핸드크림,LB-HC-003,1,15200,15200,서울,배송완료
LB-260303-0023,2026-03-03,16:43,자사몰,선물세트,섬유향수&디퓨저 세트,LB-SET-004,1,36800,36800,전남,교환완료
OY-260303-0027,2026-03-03,16:46,올리브영,섬유향수,선 드라이 코튼 섬유향수,LB-FF-009,1,15800,15800,대전,반품완료
MS-260303-0045,2026-03-03,17:31,무신사,디퓨저,포레스트 던 디퓨저,LB-DF-001,1,19900,19900,인천,배송완료
MS-260303-0040,2026-03-03,17:49,무신사,핸드크림,바질 인스파이어 핸드크림,LB-HC-001,2,15200,30400,인천,배송완료
MS-260303-0038,2026-03-03,17:53,무신사,룸스프레이,스틸 웨이브 룸스프레이,LB-RS-001,2,22800,45600,경기,배송완료
KK-260303-0041,2026-03-03,18:11,카카오선물하기,선물세트,아로마 오일 롤온&괄사 세트,LB-SET-003,1,34000,34000,서울,배송중
OY-260303-0032,2026-03-03,18:14,올리브영,디퓨저,메이 라일락 디퓨저,LB-DF-004,2,21000,42000,경기,배송완료
MS-260303-0039,2026-03-03,18:30,무신사,섬유향수,요이 섬유향수,LB-FF-007,1,15000,15000,경기,배송완료
MS-260303-0042,2026-03-03,18:30,무신사,디퓨저,와일드 가든 디퓨저,LB-DF-003,3,19900,59700,서울,배송완료
OY-260303-0024,2026-03-03,19:02,올리브영,핸드크림,플라워 소사이어티 핸드크림,LB-HC-003,1,16000,16000,인천,배송완료
LB-260303-0019,2026-03-03,19:14,자사몰,룸스프레이,스틸 웨이브 룸스프레이,LB-RS-001,1,24000,24000,경기,배송완료
OY-260303-0025,2026-03-03,19:30,올리브영,핸드크림,바질 인스파이어 핸드크림,LB-HC-001,1,16000,16000,경남,배송완료
KK-260303-0038,2026-03-03,19:36,카카오선물하기,디퓨저,타이니데스크 콜라보 디퓨저,LB-DF-005,1,37000,37000,서울,배송완료
KK-260303-0037,2026-03-03,19:37,카카오선물하기,향수,스노우 사이 오 드 퍼퓸,LB-EDP-001,1,55000,55000,경기,배송완료
LB-260303-0022,2026-03-03,21:22,자사몰,디퓨저,타이니데스크 콜라보 디퓨저,LB-DF-005,1,37000,37000,경기,반품완료
MS-260303-0043,2026-03-03,21:27,무신사,섬유향수,와일드 가든 섬유향수,LB-FF-006,2,15000,30000,충북,배송완료
LB-260304-0030,2026-03-04,01:06,자사몰,섬유향수,민티 섬유향수,LB-FF-008,1,15800,15800,경기,배송완료
OY-260304-0038,2026-03-04,02:32,올리브영,섬유향수,민티 섬유향수,LB-FF-008,1,15800,15800,인천,배송완료
MS-260304-0051,2026-03-04,05:23,무신사,섬유향수,칠 섬유향수,LB-FF-003,2,15000,30000,부산,배송완료
MS-260304-0067,2026-03-04,07:03,무신사,핸드크림,티 슬로우 핸드크림,LB-HC-002,1,15200,15200,서울,배송완료
LB-260304-0024,2026-03-04,07:43,자사몰,디퓨저,와일드 가든 디퓨저,LB-DF-003,1,21000,21000,경기,배송완료
KK-260304-0056,2026-03-04,08:12,카카오선물하기,선물세트,섬유향수&핸드크림 세트,LB-SET-002,1,31800,31800,대전,배송완료
OY-260304-0037,2026-03-04,08:15,올리브영,섬유향수,선 드라이 섬유향수,LB-FF-005,1,15800,15800,경기,교환완료
CM-260304-0024,2026-03-04,08:15,29CM,향수,캠퍼스 피크닉 오 드 퍼퓸,LB-EDP-006,1,53300,53300,경기,배송완료
OY-260304-0039,2026-03-04,08:47,올리브영,섬유향수,선 드라이 섬유향수,LB-FF-005,1,15800,15800,서울,배송중
CM-260304-0020,2026-03-04,09:18,29CM,섬유향수,헤베 섬유향수,LB-FF-004,3,15300,45900,강원,배송완료
KK-260304-0051,2026-03-04,09:50,카카오선물하기,향수,티 슬로우 오 드 퍼퓸,LB-EDP-008,1,55000,55000,서울,배송완료
KK-260304-0050,2026-03-04,10:01,카카오선물하기,향수,플라워 소사이어티 오 드 퍼퓸,LB-EDP-007,3,59000,177000,경기,배송완료
MS-260304-0054,2026-03-04,10:09,무신사,향수,클라우드 사이 오 드 퍼퓸,LB-EDP-002,1,52200,52200,경기,교환완료
MS-260304-0064,2026-03-04,10:33,무신사,섬유향수,와일드 가든 섬유향수,LB-FF-006,2,15000,30000,충남,배송완료
CM-260304-0021,2026-03-04,10:51,29CM,디퓨저,메이 라일락 디퓨저,LB-DF-004,1,20300,20300,대전,배송완료
KK-260304-0048,2026-03-04,10:57,카카오선물하기,선물세트,섬유향수 듀오 세트,LB-SET-001,1,31600,31600,경기,배송완료
MS-260304-0059,2026-03-04,11:07,무신사,섬유향수,사이 섬유향수,LB-FF-001,2,15000,30000,대전,배송완료
OY-260304-0044,2026-03-04,11:25,올리브영,디퓨저,와일드 가든 디퓨저,LB-DF-003,2,21000,42000,제주,배송완료
MS-260304-0070,2026-03-04,11:30,무신사,향수,스노우 사이 오 드 퍼퓸,LB-EDP-001,1,52200,52200,경기,배송완료
OY-260304-0036,2026-03-04,11:49,올리브영,디퓨저,타이니데스크 콜라보 디퓨저,LB-DF-005,1,37000,37000,인천,교환완료
CM-260304-0025,2026-03-04,12:09,29CM,섬유향수,와일드 가든 섬유향수,LB-FF-006,1,15300,15300,서울,배송중
LB-260304-0025,2026-03-04,12:11,자사몰,디퓨저,타이니데스크 콜라보 디퓨저,LB-DF-005,1,37000,37000,경북,배송완료
MS-260304-0052,2026-03-04,12:33,무신사,선물세트,섬유향수&디퓨저 세트,LB-SET-004,1,34900,34900,경기,배송완료
MS-260304-0068,2026-03-04,12:39,무신사,섬유향수,사이 섬유향수,LB-FF-001,1,15000,15000,경기,배송완료
LB-260304-0028,2026-03-04,12:48,자사몰,향수,티 슬로우 오 드 퍼퓸,LB-EDP-008,2,55000,110000,서울,배송완료
LB-260304-0026,2026-03-04,13:25,자사몰,선물세트,섬유향수&디퓨저 세트,LB-SET-004,2,36800,73600,경기,배송완료
KK-260304-0057,2026-03-04,13:35,카카오선물하기,향수,아트 북 오 드 퍼퓸,LB-EDP-009,1,59000,59000,서울,배송완료
MS-260304-0062,2026-03-04,13:40,무신사,향수,캠퍼스 피크닉 오 드 퍼퓸,LB-EDP-006,1,52200,52200,경남,배송완료
MS-260304-0055,2026-03-04,13:42,무신사,향수,캠퍼스 피크닉 오 드 퍼퓸,LB-EDP-006,1,52200,52200,부산,배송중
KK-260304-0049,2026-03-04,13:53,카카오선물하기,향수,스팀 글로스 오 드 퍼퓸,LB-EDP-005,2,55000,110000,서울,배송완료
