주문번호,주문일,주문시간,요일,인원수,SKU,카테고리,메뉴명,수량,단가,합계,원가합계,결제수단
P-260401-0010,2026-04-01,18:26,수,2,D002,사이드,수육 (소),1,26000,26000,8500,카드
P-260401-0010,2026-04-01,18:26,수,2,A001,주류,참이슬 후레쉬,2,5000,10000,2400,카드
P-260401-0011,2026-04-01,18:34,수,4,S008,식사,보쌈 (대),1,52000,52000,19500,간편결제
P-260401-0011,2026-04-01,18:34,수,4,S004,식사,묵은지등갈비찜 (대),1,58000,58000,21000,간편결제
P-260401-0011,2026-04-01,18:34,수,4,D006,사이드,계란말이,1,9000,9000,2400,간편결제
P-260401-0011,2026-04-01,18:34,수,4,A002,주류,처음처럼,2,5000,10000,2400,간편결제
P-260401-0011,2026-04-01,18:34,수,4,B003,음료,수정과,2,5000,10000,2400,간편결제
P-260401-0012,2026-04-01,20:31,수,5,S002,식사,한우육개장,1,21000,21000,8200,카드
P-260401-0012,2026-04-01,20:31,수,5,S008,식사,보쌈 (대),1,52000,52000,19500,카드
P-260401-0012,2026-04-01,20:31,수,5,D006,사이드,계란말이,1,9000,9000,2400,카드
P-260401-0012,2026-04-01,20:31,수,5,A005,주류,한라산,2,14000,28000,9000,카드
P-260401-0012,2026-04-01,20:31,수,5,A001,주류,참이슬 후레쉬,2,5000,10000,2400,카드
P-260401-0012,2026-04-01,20:31,수,5,B001,음료,사이다,2,4000,8000,1800,카드
P-260401-0012,2026-04-01,20:31,수,5,E004,디저트,수제 한과 모듬,1,9000,9000,2400,카드
P-260401-0013,2026-04-01,13:17,수,4,M003,코스,"런치 한상 (1인, 평일점심)",2,19000,38000,19600,간편결제
P-260401-0013,2026-04-01,13:17,수,4,M001,코스,청기와 한정식 (1인),1,39000,39000,16500,간편결제
P-260401-0013,2026-04-01,13:17,수,4,S001,식사,갈비탕,1,19000,19000,7800,간편결제
P-260401-0014,2026-04-01,20:29,수,3,S005,식사,간장게장 정식,1,32000,32000,14000,카드
P-260401-0014,2026-04-01,20:29,수,3,S002,식사,한우육개장,1,21000,21000,8200,카드
P-260401-0014,2026-04-01,20:29,수,3,D007,사이드,도토리묵,1,11000,11000,2800,카드
P-260401-0014,2026-04-01,20:29,수,3,D001,사이드,한치회무침,1,22000,22000,7800,카드
P-260401-0014,2026-04-01,20:29,수,3,A001,주류,참이슬 후레쉬,2,5000,10000,2400,카드
P-260401-0014,2026-04-01,20:29,수,3,B001,음료,사이다,2,4000,8000,1800,카드
P-260401-0015,2026-04-01,21:24,수,2,S009,식사,한우 육회비빔밥,1,22000,22000,10500,카드
P-260401-0015,2026-04-01,21:24,수,2,S007,식사,보쌈 (소),1,32000,32000,11000,카드
P-260401-0015,2026-04-01,21:24,수,2,D003,사이드,감자전,1,14000,14000,3200,카드
P-260401-0015,2026-04-01,21:24,수,2,D005,사이드,한우 떡갈비 (2장),1,24000,24000,9800,카드
P-260401-0015,2026-04-01,21:24,수,2,D001,사이드,한치회무침,1,22000,22000,7800,카드
P-260401-0015,2026-04-01,21:24,수,2,A006,주류,복분자주 (병),2,22000,44000,13600,카드
P-260401-0015,2026-04-01,21:24,수,2,B002,음료,콜라,2,4000,8000,1800,카드
P-260401-0016,2026-04-01,17:43,수,2,S003,식사,묵은지등갈비찜 (소),1,38000,38000,12500,카드
P-260401-0016,2026-04-01,17:43,수,2,D007,사이드,도토리묵,1,11000,11000,2800,카드
P-260401-0016,2026-04-01,17:43,수,2,D006,사이드,계란말이,1,9000,9000,2400,카드
P-260401-0016,2026-04-01,17:43,수,2,D004,사이드,해물파전,1,17000,17000,4500,카드
P-260401-0016,2026-04-01,17:43,수,2,A003,주류,테라,1,6000,6000,1500,카드
P-260401-0017,2026-04-01,12:25,수,2,S010,식사,들기름 막국수,1,13000,13000,4200,카드
P-260401-0017,2026-04-01,12:25,수,2,S005,식사,간장게장 정식,1,32000,32000,14000,카드
P-260401-0018,2026-04-01,21:07,수,10,S009,식사,한우 육회비빔밥,1,22000,22000,10500,간편결제
P-260401-0018,2026-04-01,21:07,수,10,D002,사이드,수육 (소),1,26000,26000,8500,간편결제
P-260401-0018,2026-04-01,21:07,수,10,D007,사이드,도토리묵,1,11000,11000,2800,간편결제
P-260401-0018,2026-04-01,21:07,수,10,D003,사이드,감자전,1,14000,14000,3200,간편결제
P-260401-0018,2026-04-01,21:07,수,10,A005,주류,한라산,2,14000,28000,9000,간편결제
P-260401-0018,2026-04-01,21:07,수,10,A004,주류,카스,1,6000,6000,1500,간편결제
P-260401-0018,2026-04-01,21:07,수,10,A001,주류,참이슬 후레쉬,3,5000,15000,3600,간편결제
P-260401-0018,2026-04-01,21:07,수,10,A003,주류,테라,2,6000,12000,3000,간편결제
P-260401-0019,2026-04-01,21:53,수,2,M001,코스,청기와 한정식 (1인),2,39000,78000,33000,카드
P-260401-0019,2026-04-01,21:53,수,2,E001,디저트,흑임자 아이스크림,1,7000,7000,1800,카드
P-260401-0020,2026-04-01,19:04,수,6,S009,식사,한우 육회비빔밥,1,22000,22000,10500,카드
P-260401-0020,2026-04-01,19:04,수,6,D006,사이드,계란말이,1,9000,9000,2400,카드
P-260401-0020,2026-04-01,19:04,수,6,D001,사이드,한치회무침,1,22000,22000,7800,카드
P-260401-0020,2026-04-01,19:04,수,6,A005,주류,한라산,1,14000,14000,4500,카드
P-260401-0020,2026-04-01,19:04,수,6,A001,주류,참이슬 후레쉬,3,5000,15000,3600,카드
P-260401-0021,2026-04-01,15:29,수,4,S009,식사,한우 육회비빔밥,1,22000,22000,10500,카드
P-260401-0021,2026-04-01,15:29,수,4,S001,식사,갈비탕,1,19000,19000,7800,카드
P-260401-0021,2026-04-01,15:29,수,4,D006,사이드,계란말이,1,9000,9000,2400,카드
P-260401-0021,2026-04-01,15:29,수,4,D004,사이드,해물파전,1,17000,17000,4500,카드
P-260401-0021,2026-04-01,15:29,수,4,A003,주류,테라,1,6000,6000,1500,카드
P-260401-0021,2026-04-01,15:29,수,4,A007,주류,막걸리 (병),2,8000,16000,3600,카드
P-260401-0022,2026-04-01,19:57,수,2,S001,식사,갈비탕,1,19000,19000,7800,간편결제
P-260401-0022,2026-04-01,19:57,수,2,S003,식사,묵은지등갈비찜 (소),1,38000,38000,12500,간편결제
P-260401-0022,2026-04-01,19:57,수,2,D007,사이드,도토리묵,1,11000,11000,2800,간편결제
P-260401-0022,2026-04-01,19:57,수,2,D004,사이드,해물파전,1,17000,17000,4500,간편결제
P-260401-0022,2026-04-01,19:57,수,2,A002,주류,처음처럼,2,5000,10000,2400,간편결제
P-260401-0023,2026-04-01,17:13,수,3,S009,식사,한우 육회비빔밥,1,22000,22000,10500,카드
P-260401-0023,2026-04-01,17:13,수,3,D002,사이드,수육 (소),1,26000,26000,8500,카드
P-260401-0023,2026-04-01,17:13,수,3,D007,사이드,도토리묵,1,11000,11000,2800,카드
P-260401-0023,2026-04-01,17:13,수,3,A001,주류,참이슬 후레쉬,2,5000,10000,2400,카드
P-260401-0023,2026-04-01,17:13,수,3,B003,음료,수정과,1,5000,5000,1200,카드
P-260401-0024,2026-04-01,11:27,수,5,S001,식사,갈비탕,3,19000,57000,23400,카드
P-260401-0024,2026-04-01,11:27,수,5,S010,식사,들기름 막국수,1,13000,13000,4200,카드
P-260401-0024,2026-04-01,11:27,수,5,M003,코스,"런치 한상 (1인, 평일점심)",1,19000,19000,9800,카드
P-260401-0024,2026-04-01,11:27,수,5,D006,사이드,계란말이,1,9000,9000,2400,카드
P-260401-0025,2026-04-01,20:19,수,6,S004,식사,묵은지등갈비찜 (대),1,58000,58000,21000,카드
P-260401-0025,2026-04-01,20:19,수,6,D003,사이드,감자전,1,14000,14000,3200,카드
P-260401-0025,2026-04-01,20:19,수,6,D005,사이드,한우 떡갈비 (2장),1,24000,24000,9800,카드
P-260401-0025,2026-04-01,20:19,수,6,A003,주류,테라,3,6000,18000,4500,카드
P-260401-0025,2026-04-01,20:19,수,6,B002,음료,콜라,1,4000,4000,900,카드
P-260401-0026,2026-04-01,19:02,수,2,S001,식사,갈비탕,1,19000,19000,7800,간편결제
P-260401-0026,2026-04-01,19:02,수,2,S009,식사,한우 육회비빔밥,1,22000,22000,10500,간편결제
P-260401-0026,2026-04-01,19:02,수,2,D007,사이드,도토리묵,1,11000,11000,2800,간편결제
P-260401-0026,2026-04-01,19:02,수,2,D006,사이드,계란말이,1,9000,9000,2400,간편결제
P-260401-0026,2026-04-01,19:02,수,2,D004,사이드,해물파전,1,17000,17000,4500,간편결제
P-260401-0026,2026-04-01,19:02,수,2,A003,주류,테라,2,6000,12000,3000,간편결제
P-260401-0026,2026-04-01,19:02,수,2,E003,디저트,쌍화차,1,7000,7000,1800,간편결제
P-260401-0027,2026-04-01,12:10,수,4,M001,코스,청기와 한정식 (1인),1,39000,39000,16500,카드
P-260401-0027,2026-04-01,12:10,수,4,S001,식사,갈비탕,2,19000,38000,15600,카드
P-260401-0027,2026-04-01,12:10,수,4,S005,식사,간장게장 정식,1,32000,32000,14000,카드
P-260401-0028,2026-04-01,15:37,수,2,S001,식사,갈비탕,1,19000,19000,7800,카드
P-260401-0028,2026-04-01,15:37,수,2,D001,사이드,한치회무침,1,22000,22000,7800,카드
P-260401-0028,2026-04-01,15:37,수,2,D005,사이드,한우 떡갈비 (2장),1,24000,24000,9800,카드
P-260401-0028,2026-04-01,15:37,수,2,A002,주류,처음처럼,2,5000,10000,2400,카드
P-260401-0028,2026-04-01,15:37,수,2,B002,음료,콜라,1,4000,4000,900,카드
P-260401-0028,2026-04-01,15:37,수,2,E004,디저트,수제 한과 모듬,1,9000,9000,2400,카드
P-260401-0029,2026-04-01,21:04,수,2,S007,식사,보쌈 (소),1,32000,32000,11000,카드
P-260401-0029,2026-04-01,21:04,수,2,S002,식사,한우육개장,1,21000,21000,8200,카드
P-260401-0029,2026-04-01,21:04,수,2,D001,사이드,한치회무침,1,22000,22000,7800,카드
P-260401-0029,2026-04-01,21:04,수,2,D005,사이드,한우 떡갈비 (2장),1,24000,24000,9800,카드
P-260401-0029,2026-04-01,21:04,수,2,A001,주류,참이슬 후레쉬,1,5000,5000,1200,카드
P-260401-0029,2026-04-01,21:04,수,2,B001,음료,사이다,2,4000,8000,1800,카드
P-260401-0030,2026-04-01,20:43,수,2,S007,식사,보쌈 (소),1,32000,32000,11000,카드
P-260401-0030,2026-04-01,20:43,수,2,D002,사이드,수육 (소),1,26000,26000,8500,카드
P-260401-0030,2026-04-01,20:43,수,2,D007,사이드,도토리묵,1,11000,11000,2800,카드
P-260401-0030,2026-04-01,20:43,수,2,D004,사이드,해물파전,1,17000,17000,4500,카드
P-260401-0030,2026-04-01,20:43,수,2,A001,주류,참이슬 후레쉬,2,5000,10000,2400,카드
P-260401-0031,2026-04-01,11:10,수,2,M003,코스,"런치 한상 (1인, 평일점심)",2,19000,38000,19600,카드
P-260401-0032,2026-04-01,17:55,수,5,S005,식사,간장게장 정식,1,32000,32000,14000,카드
P-260401-0032,2026-04-01,17:55,수,5,S009,식사,한우 육회비빔밥,1,22000,22000,10500,카드
P-260401-0032,2026-04-01,17:55,수,5,D005,사이드,한우 떡갈비 (2장),1,24000,24000,9800,카드
P-260401-0032,2026-04-01,17:55,수,5,D007,사이드,도토리묵,1,11000,11000,2800,카드
P-260401-0032,2026-04-01,17:55,수,5,D001,사이드,한치회무침,1,22000,22000,7800,카드
P-260401-0032,2026-04-01,17:55,수,5,A001,주류,참이슬 후레쉬,2,5000,10000,2400,카드
P-260401-0032,2026-04-01,17:55,수,5,A005,주류,한라산,1,14000,14000,4500,카드
P-260401-0032,2026-04-01,17:55,수,5,B002,음료,콜라,1,4000,4000,900,카드
P-260401-0033,2026-04-01,14:46,수,4,M003,코스,"런치 한상 (1인, 평일점심)",2,19000,38000,19600,간편결제
P-260401-0033,2026-04-01,14:46,수,4,S002,식사,한우육개장,1,21000,21000,8200,간편결제
P-260401-0033,2026-04-01,14:46,수,4,M001,코스,청기와 한정식 (1인),1,39000,39000,16500,간편결제
P-260401-0033,2026-04-01,14:46,수,4,D003,사이드,감자전,1,14000,14000,3200,간편결제
P-260401-0034,2026-04-01,13:13,수,4,S001,식사,갈비탕,1,19000,19000,7800,카드
P-260401-0034,2026-04-01,13:13,수,4,M003,코스,"런치 한상 (1인, 평일점심)",2,19000,38000,19600,카드
P-260401-0034,2026-04-01,13:13,수,4,S010,식사,들기름 막국수,1,13000,13000,4200,카드
P-260401-0034,2026-04-01,13:13,수,4,D003,사이드,감자전,1,14000,14000,3200,카드
P-260401-0035,2026-04-01,12:28,수,2,S010,식사,들기름 막국수,1,13000,13000,4200,카드
P-260401-0035,2026-04-01,12:28,수,2,S002,식사,한우육개장,1,21000,21000,8200,카드
P-260401-0036,2026-04-01,18:42,수,4,S009,식사,한우 육회비빔밥,1,22000,22000,10500,카드
P-260401-0036,2026-04-01,18:42,수,4,S004,식사,묵은지등갈비찜 (대),1,58000,58000,21000,카드
P-260401-0036,2026-04-01,18:42,수,4,D005,사이드,한우 떡갈비 (2장),1,24000,24000,9800,카드
P-260401-0036,2026-04-01,18:42,수,4,A002,주류,처음처럼,2,5000,10000,2400,카드
P-260401-0036,2026-04-01,18:42,수,4,A006,주류,복분자주 (병),1,22000,22000,6800,카드
P-260401-0036,2026-04-01,18:42,수,4,B003,음료,수정과,2,5000,10000,2400,카드
P-260401-0037,2026-04-01,12:27,수,5,S005,식사,간장게장 정식,1,32000,32000,14000,카드
P-260401-0037,2026-04-01,12:27,수,5,S010,식사,들기름 막국수,1,13000,13000,4200,카드
P-260401-0037,2026-04-01,12:27,수,5,S002,식사,한우육개장,3,21000,63000,24600,카드
P-260401-0038,2026-04-01,21:18,수,2,M002,코스,청기와 프리미엄 한정식 (1인),2,59000,118000,48000,카드
P-260401-0038,2026-04-01,21:18,수,2,A006,주류,복분자주 (병),2,22000,44000,13600,카드
P-260401-0039,2026-04-01,13:08,수,2,S009,식사,한우 육회비빔밥,2,22000,44000,21000,계좌이체
P-260401-0040,2026-04-01,18:49,수,2,S003,식사,묵은지등갈비찜 (소),1,38000,38000,12500,간편결제
P-260401-0040,2026-04-01,18:49,수,2,D001,사이드,한치회무침,1,22000,22000,7800,간편결제
P-260401-0040,2026-04-01,18:49,수,2,D005,사이드,한우 떡갈비 (2장),1,24000,24000,9800,간편결제
P-260401-0040,2026-04-01,18:49,수,2,A003,주류,테라,2,6000,12000,3000,간편결제
P-260401-0040,2026-04-01,18:49,수,2,E002,디저트,약과 3종,1,6000,6000,1500,간편결제
P-260401-0041,2026-04-01,19:19,수,2,S001,식사,갈비탕,1,19000,19000,7800,카드
P-260401-0041,2026-04-01,19:19,수,2,D005,사이드,한우 떡갈비 (2장),1,24000,24000,9800,카드
P-260401-0041,2026-04-01,19:19,수,2,D004,사이드,해물파전,1,17000,17000,4500,카드
P-260401-0041,2026-04-01,19:19,수,2,D007,사이드,도토리묵,1,11000,11000,2800,카드
P-260401-0041,2026-04-01,19:19,수,2,A005,주류,한라산,1,14000,14000,4500,카드
P-260401-0041,2026-04-01,19:19,수,2,B001,음료,사이다,2,4000,8000,1800,카드
P-260401-0042,2026-04-01,12:42,수,2,S002,식사,한우육개장,1,21000,21000,8200,카드
P-260401-0042,2026-04-01,12:42,수,2,S001,식사,갈비탕,1,19000,19000,7800,카드
P-260401-0042,2026-04-01,12:42,수,2,B002,음료,콜라,2,4000,8000,1800,카드
P-260401-0043,2026-04-01,14:39,수,3,M003,코스,"런치 한상 (1인, 평일점심)",2,19000,38000,19600,현금
P-260401-0043,2026-04-01,14:39,수,3,M001,코스,청기와 한정식 (1인),1,39000,39000,16500,현금
P-260401-0043,2026-04-01,14:39,수,3,D003,사이드,감자전,1,14000,14000,3200,현금
P-260401-0044,2026-04-01,18:52,수,3,M002,코스,청기와 프리미엄 한정식 (1인),3,59000,177000,72000,간편결제
P-260401-0044,2026-04-01,18:52,수,3,A003,주류,테라,1,6000,6000,1500,간편결제
P-260401-0044,2026-04-01,18:52,수,3,E004,디저트,수제 한과 모듬,1,9000,9000,2400,간편결제
P-260401-0045,2026-04-01,12:08,수,2,S009,식사,한우 육회비빔밥,1,22000,22000,10500,간편결제
P-260401-0045,2026-04-01,12:08,수,2,M001,코스,청기와 한정식 (1인),1,39000,39000,16500,간편결제
P-260401-0045,2026-04-01,12:08,수,2,B004,음료,식혜,2,5000,10000,2400,간편결제
P-260401-0046,2026-04-01,19:46,수,4,S009,식사,한우 육회비빔밥,1,22000,22000,10500,카드
P-260401-0046,2026-04-01,19:46,수,4,D002,사이드,수육 (소),1,26000,26000,8500,카드
P-260401-0046,2026-04-01,19:46,수,4,D005,사이드,한우 떡갈비 (2장),1,24000,24000,9800,카드
P-260401-0046,2026-04-01,19:46,수,4,A004,주류,카스,2,6000,12000,3000,카드
P-260401-0046,2026-04-01,19:46,수,4,A002,주류,처음처럼,1,5000,5000,1200,카드
P-260401-0046,2026-04-01,19:46,수,4,B002,음료,콜라,2,4000,8000,1800,카드
P-260401-0047,2026-04-01,12:08,수,4,S002,식사,한우육개장,1,21000,21000,8200,카드
P-260401-0047,2026-04-01,12:08,수,4,S009,식사,한우 육회비빔밥,1,22000,22000,10500,카드
P-260401-0047,2026-04-01,12:08,수,4,S005,식사,간장게장 정식,1,32000,32000,14000,카드
P-260401-0047,2026-04-01,12:08,수,4,M003,코스,"런치 한상 (1인, 평일점심)",1,19000,19000,9800,카드
P-260401-0048,2026-04-01,17:43,수,4,S005,식사,간장게장 정식,1,32000,32000,14000,카드
P-260401-0048,2026-04-01,17:43,수,4,S008,식사,보쌈 (대),1,52000,52000,19500,카드
P-260401-0048,2026-04-01,17:43,수,4,D001,사이드,한치회무침,1,22000,22000,7800,카드
P-260401-0048,2026-04-01,17:43,수,4,D005,사이드,한우 떡갈비 (2장),1,24000,24000,9800,카드
P-260401-0048,2026-04-01,17:43,수,4,D003,사이드,감자전,1,14000,14000,3200,카드
P-260401-0048,2026-04-01,17:43,수,4,A004,주류,카스,2,6000,12000,3000,카드
P-260401-0048,2026-04-01,17:43,수,4,A005,주류,한라산,2,14000,28000,9000,카드
P-260401-0048,2026-04-01,17:43,수,4,E003,디저트,쌍화차,1,7000,7000,1800,카드
P-260401-0049,2026-04-01,12:01,수,3,S001,식사,갈비탕,1,19000,19000,7800,카드
P-260401-0049,2026-04-01,12:01,수,3,S002,식사,한우육개장,1,21000,21000,8200,카드
P-260401-0049,2026-04-01,12:01,수,3,S005,식사,간장게장 정식,1,32000,32000,14000,카드
P-260401-0050,2026-04-01,20:16,수,2,S003,식사,묵은지등갈비찜 (소),1,38000,38000,12500,카드
P-260401-0050,2026-04-01,20:16,수,2,S005,식사,간장게장 정식,1,32000,32000,14000,카드
P-260401-0050,2026-04-01,20:16,수,2,D006,사이드,계란말이,1,9000,9000,2400,카드
P-260401-0050,2026-04-01,20:16,수,2,D002,사이드,수육 (소),1,26000,26000,8500,카드
P-260401-0050,2026-04-01,20:16,수,2,D007,사이드,도토리묵,1,11000,11000,2800,카드
P-260401-0050,2026-04-01,20:16,수,2,A001,주류,참이슬 후레쉬,1,5000,5000,1200,카드
P-260401-0051,2026-04-01,18:03,수,4,S002,식사,한우육개장,1,21000,21000,8200,카드
P-260401-0051,2026-04-01,18:03,수,4,D006,사이드,계란말이,1,9000,9000,2400,카드
P-260401-0051,2026-04-01,18:03,수,4,A005,주류,한라산,2,14000,28000,9000,카드
P-260401-0051,2026-04-01,18:03,수,4,A003,주류,테라,2,6000,12000,3000,카드
P-260401-0051,2026-04-01,18:03,수,4,B001,음료,사이다,2,4000,8000,1800,카드
P-260401-0051,2026-04-01,18:03,수,4,E002,디저트,약과 3종,1,6000,6000,1500,카드
P-260401-0052,2026-04-01,12:32,수,3,M003,코스,"런치 한상 (1인, 평일점심)",1,19000,19000,9800,카드
P-260401-0052,2026-04-01,12:32,수,3,S005,식사,간장게장 정식,1,32000,32000,14000,카드
P-260401-0052,2026-04-01,12:32,수,3,S010,식사,들기름 막국수,1,13000,13000,4200,카드
P-260401-0052,2026-04-01,12:32,수,3,D007,사이드,도토리묵,1,11000,11000,2800,카드
P-260401-0053,2026-04-01,20:29,수,2,S001,식사,갈비탕,1,19000,19000,7800,카드
P-260401-0053,2026-04-01,20:29,수,2,D003,사이드,감자전,1,14000,14000,3200,카드
P-260401-0053,2026-04-01,20:29,수,2,A002,주류,처음처럼,1,5000,5000,1200,카드
P-260401-0054,2026-04-01,18:37,수,4,S004,식사,묵은지등갈비찜 (대),1,58000,58000,21000,카드
P-260401-0054,2026-04-01,18:37,수,4,S002,식사,한우육개장,1,21000,21000,8200,카드
P-260401-0054,2026-04-01,18:37,수,4,D001,사이드,한치회무침,1,22000,22000,7800,카드
P-260401-0054,2026-04-01,18:37,수,4,D002,사이드,수육 (소),1,26000,26000,8500,카드
P-260401-0054,2026-04-01,18:37,수,4,D005,사이드,한우 떡갈비 (2장),1,24000,24000,9800,카드
P-260401-0054,2026-04-01,18:37,수,4,A007,주류,막걸리 (병),1,8000,8000,1800,카드
P-260401-0054,2026-04-01,18:37,수,4,A005,주류,한라산,2,14000,28000,9000,카드
P-260401-0054,2026-04-01,18:37,수,4,B003,음료,수정과,1,5000,5000,1200,카드
P-260401-0055,2026-04-01,18:47,수,8,S002,식사,한우육개장,1,21000,21000,8200,카드
P-260401-0055,2026-04-01,18:47,수,8,S001,식사,갈비탕,1,19000,19000,7800,카드
P-260401-0055,2026-04-01,18:47,수,8,D003,사이드,감자전,1,14000,14000,3200,카드
P-260401-0055,2026-04-01,18:47,수,8,D001,사이드,한치회무침,1,22000,22000,7800,카드
P-260401-0055,2026-04-01,18:47,수,8,D002,사이드,수육 (소),1,26000,26000,8500,카드
P-260401-0055,2026-04-01,18:47,수,8,A002,주류,처음처럼,2,5000,10000,2400,카드
P-260401-0055,2026-04-01,18:47,수,8,A005,주류,한라산,1,14000,14000,4500,카드
P-260401-0055,2026-04-01,18:47,수,8,A006,주류,복분자주 (병),1,22000,22000,6800,카드
P-260401-0055,2026-04-01,18:47,수,8,A007,주류,막걸리 (병),2,8000,16000,3600,카드
P-260401-0055,2026-04-01,18:47,수,8,B004,음료,식혜,2,5000,10000,2400,카드
P-260401-0056,2026-04-01,14:32,수,2,S001,식사,갈비탕,1,19000,19000,7800,현금
P-260401-0056,2026-04-01,14:32,수,2,M003,코스,"런치 한상 (1인, 평일점심)",1,19000,19000,9800,현금
P-260401-0057,2026-04-01,19:26,수,2,S009,식사,한우 육회비빔밥,1,22000,22000,10500,카드
P-260401-0057,2026-04-01,19:26,수,2,S002,식사,한우육개장,1,21000,21000,8200,카드
P-260401-0057,2026-04-01,19:26,수,2,D004,사이드,해물파전,1,17000,17000,4500,카드
P-260401-0057,2026-04-01,19:26,수,2,A001,주류,참이슬 후레쉬,2,5000,10000,2400,카드
P-260401-0057,2026-04-01,19:26,수,2,E002,디저트,약과 3종,1,6000,6000,1500,카드
P-260401-0058,2026-04-01,20:51,수,3,S007,식사,보쌈 (소),1,32000,32000,11000,카드
P-260401-0058,2026-04-01,20:51,수,3,S001,식사,갈비탕,1,19000,19000,7800,카드
P-260401-0058,2026-04-01,20:51,수,3,D007,사이드,도토리묵,1,11000,11000,2800,카드
P-260401-0058,2026-04-01,20:51,수,3,D004,사이드,해물파전,1,17000,17000,4500,카드
P-260401-0058,2026-04-01,20:51,수,3,D001,사이드,한치회무침,1,22000,22000,7800,카드
P-260401-0058,2026-04-01,20:51,수,3,A004,주류,카스,2,6000,12000,3000,카드
