date,client_name,industry,platform,campaign_type,campaign_name,impressions,clicks,spend_krw,conversions,revenue_krw,CTR,CPC_krw,CPM_krw,CVR,CPA_krw,ROAS
2026-03-25,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 봄신상_세럼,37324,728,628783,20,1792715,1.95,864,16847,2.75,31439,285
2026-03-26,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 봄신상_세럼,37899,770,529008,24,2343592,2.03,687,13958,3.12,22042,443
2026-03-27,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 봄신상_세럼,37422,750,525220,24,1582352,2.0,700,14035,3.2,21884,301
2026-03-28,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 봄신상_세럼,41427,804,565844,24,1750687,1.94,704,13659,2.99,23577,309
2026-03-29,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 봄신상_세럼,38789,649,563406,20,2058664,1.67,868,14525,3.08,28170,365
2026-03-30,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 봄신상_세럼,30298,583,503434,14,1732950,1.92,864,16616,2.4,35960,344
2026-03-31,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 봄신상_세럼,42794,756,681735,21,2099679,1.77,902,15931,2.78,32464,308
2026-03-01,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 화이트데이_선물세트,25693,451,412330,12,1472322,1.76,914,16048,2.66,34361,357
2026-03-02,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 화이트데이_선물세트,23743,373,383842,13,1880062,1.57,1029,16167,3.49,29526,490
2026-03-03,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 화이트데이_선물세트,24378,438,383817,11,1300475,1.8,876,15744,2.51,34892,339
2026-03-04,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 화이트데이_선물세트,31898,541,544074,18,2605997,1.7,1006,17057,3.33,30226,479
2026-03-05,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 화이트데이_선물세트,29558,495,405975,14,1657616,1.67,820,13735,2.83,28998,408
2026-03-06,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 화이트데이_선물세트,24663,483,505812,12,1997637,1.96,1047,20509,2.48,42151,395
2026-03-07,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 화이트데이_선물세트,24477,387,433571,10,1753722,1.58,1120,17713,2.58,43357,404
2026-03-08,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 화이트데이_선물세트,31833,530,472501,19,2006117,1.66,892,14843,3.58,24868,425
2026-03-09,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 화이트데이_선물세트,35895,559,558240,21,2849379,1.56,999,15552,3.76,26583,510
2026-03-10,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 화이트데이_선물세트,25456,658,753014,23,4247160,2.58,1144,29581,3.5,32740,564
2026-03-11,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 화이트데이_선물세트,29455,644,604653,27,4596910,2.19,939,20528,4.19,22395,760
2026-03-12,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 화이트데이_선물세트,22826,608,662901,28,5338908,2.66,1090,29041,4.61,23675,805
2026-03-13,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 화이트데이_선물세트,30468,935,935036,41,5873230,3.07,1000,30689,4.39,22806,628
2026-03-14,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 화이트데이_선물세트,31496,976,984616,58,5695105,3.1,1009,31262,5.94,16976,578
2026-03-15,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 화이트데이_선물세트,25828,437,428540,10,1958548,1.69,981,16592,2.29,42854,457
2026-03-16,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 화이트데이_선물세트,25609,403,344950,11,1111671,1.57,856,13470,2.73,31359,322
2026-03-17,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 화이트데이_선물세트,22001,311,351546,8,1383761,1.41,1130,15979,2.57,43943,394
2026-03-18,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 화이트데이_선물세트,25768,467,471983,17,1757573,1.81,1011,18317,3.64,27764,372
2026-03-19,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 화이트데이_선물세트,34695,605,529920,20,2084172,1.74,876,15274,3.31,26496,393
2026-03-20,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 화이트데이_선물세트,26701,419,451879,13,2466861,1.57,1078,16924,3.1,34760,546
2026-03-21,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 화이트데이_선물세트,43827,721,584529,21,3107747,1.65,811,13337,2.91,27835,532
2026-03-22,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 화이트데이_선물세트,28851,499,562047,13,2866010,1.73,1126,19481,2.61,43234,510
2026-03-23,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 화이트데이_선물세트,25010,516,527452,17,1737739,2.06,1022,21090,3.29,31027,329
2026-03-24,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 화이트데이_선물세트,32358,611,549608,23,1962609,1.89,900,16985,3.76,23896,357
2026-03-25,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 화이트데이_선물세트,27341,500,412713,14,1898090,1.83,825,15095,2.8,29480,460
2026-03-26,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 화이트데이_선물세트,32843,615,530197,17,2303676,1.87,862,16143,2.76,31188,434
2026-03-27,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 화이트데이_선물세트,32218,509,566822,15,2200428,1.58,1114,17593,2.95,37788,388
2026-03-28,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 화이트데이_선물세트,19209,360,390885,10,1914200,1.87,1086,20349,2.78,39089,490
2026-03-29,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 화이트데이_선물세트,34131,524,497825,14,2592216,1.54,950,14586,2.67,35559,521
2026-03-30,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 화이트데이_선물세트,28727,569,566547,18,2040184,1.98,996,19722,3.16,31475,360
2026-03-31,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 화이트데이_선물세트,22774,459,415058,16,2140924,2.02,904,18225,3.49,25941,516
2026-03-01,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 베스트셀러_리타겟팅,33449,529,358195,10,1326771,1.58,677,10709,1.89,35819,370
2026-03-02,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 베스트셀러_리타겟팅,27258,483,356367,9,1406703,1.77,738,13074,1.86,39596,395
2026-03-03,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 베스트셀러_리타겟팅,20755,388,353954,10,876750,1.87,912,17054,2.58,35395,248
2026-03-04,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 베스트셀러_리타겟팅,24494,473,338133,12,1298575,1.93,715,13805,2.54,28178,384
2026-03-05,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 베스트셀러_리타겟팅,26919,500,347300,10,1338349,1.86,695,12902,2.0,34730,385
2026-03-06,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 베스트셀러_리타겟팅,27718,519,353211,12,1035804,1.87,681,12743,2.31,29434,293
2026-03-07,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 베스트셀러_리타겟팅,34524,506,345396,10,1025831,1.47,683,10005,1.98,34540,297
2026-03-08,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 베스트셀러_리타겟팅,24394,410,372551,10,1210212,1.68,909,15272,2.44,37255,325
2026-03-09,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 베스트셀러_리타겟팅,24494,499,387742,10,1637970,2.04,777,15830,2.0,38774,422
2026-03-10,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 베스트셀러_리타겟팅,18663,406,368361,11,1584148,2.18,907,19737,2.71,33487,430
2026-03-11,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 베스트셀러_리타겟팅,26958,701,496842,24,2242324,2.6,709,18430,3.42,20702,451
2026-03-12,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 베스트셀러_리타겟팅,25373,728,502684,22,3127499,2.87,691,19812,3.02,22849,622
2026-03-13,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 베스트셀러_리타겟팅,20524,634,528260,27,2694395,3.09,833,25739,4.26,19565,510
2026-03-14,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 베스트셀러_리타겟팅,19317,561,457691,22,3124054,2.9,816,23694,3.92,20804,683
2026-03-15,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 베스트셀러_리타겟팅,29602,427,300682,8,831427,1.44,704,10157,1.87,37585,277
2026-03-16,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 베스트셀러_리타겟팅,26046,389,253796,9,803195,1.49,652,9744,2.31,28200,316
2026-03-17,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 베스트셀러_리타겟팅,27804,400,320919,8,699873,1.44,802,11542,2.0,40115,218
2026-03-18,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 베스트셀러_리타겟팅,21701,400,297446,10,999458,1.84,744,13707,2.5,29745,336
2026-03-19,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 베스트셀러_리타겟팅,26210,468,317638,13,1247112,1.79,679,12119,2.78,24434,393
2026-03-20,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 베스트셀러_리타겟팅,24442,442,282200,11,885591,1.81,638,11546,2.49,25655,314
2026-03-21,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 베스트셀러_리타겟팅,22975,435,366577,9,1065093,1.89,843,15955,2.07,40731,291
2026-03-22,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 베스트셀러_리타겟팅,21437,383,263306,11,708170,1.79,687,12283,2.87,23937,269
2026-03-23,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 베스트셀러_리타겟팅,23853,390,314033,10,1070973,1.64,805,13165,2.56,31403,341
2026-03-24,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 베스트셀러_리타겟팅,23418,359,291863,9,1132946,1.53,813,12463,2.51,32429,388
2026-03-25,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 베스트셀러_리타겟팅,22707,369,273992,11,945467,1.63,743,12066,2.98,24908,345
2026-03-26,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 베스트셀러_리타겟팅,19465,387,266661,9,1049422,1.99,689,13699,2.33,29629,394
2026-03-27,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 베스트셀러_리타겟팅,20469,379,346957,11,1418825,1.85,915,16950,2.9,31542,409
2026-03-28,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 베스트셀러_리타겟팅,22634,408,339813,11,1189979,1.8,833,15013,2.7,30892,350
2026-03-29,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 베스트셀러_리타겟팅,25079,448,376824,10,1125867,1.79,841,15025,2.23,37682,299
2026-03-30,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 베스트셀러_리타겟팅,22357,405,343066,10,1041055,1.81,847,15345,2.47,34307,303
2026-03-31,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 베스트셀러_리타겟팅,23021,386,270207,9,942659,1.68,700,11737,2.33,30023,349
2026-03-01,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 신규가입_프로모션,16966,307,198165,7,475580,1.81,645,11680,2.28,28309,240
2026-03-02,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 신규가입_프로모션,18178,303,223115,6,657291,1.67,736,12274,1.98,37186,295
2026-03-03,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 신규가입_프로모션,19886,360,269194,9,935715,1.81,748,13537,2.5,29910,348
2026-03-04,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 신규가입_프로모션,23256,380,220592,9,796509,1.63,581,9485,2.37,24510,361
2026-03-05,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 신규가입_프로모션,21284,391,273697,9,883197,1.84,700,12859,2.3,30411,323
2026-03-06,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 신규가입_프로모션,19080,320,205779,5,579697,1.68,643,10785,1.56,41156,282
2026-03-07,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 신규가입_프로모션,23209,357,248279,7,619998,1.54,695,10698,1.96,35468,250
2026-03-08,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 신규가입_프로모션,25017,436,255797,10,630864,1.74,587,10225,2.29,25580,247
2026-03-09,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 신규가입_프로모션,23435,417,257796,8,782347,1.78,618,11000,1.92,32224,303
2026-03-10,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 신규가입_프로모션,16525,417,280467,12,1326074,2.52,673,16972,2.88,23372,473
2026-03-11,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 신규가입_프로모션,26951,594,386750,15,1783350,2.2,651,14350,2.53,25783,461
2026-03-12,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 신규가입_프로모션,22894,646,438954,25,2288104,2.82,679,19173,3.87,17558,521
2026-03-13,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 신규가입_프로모션,19234,504,429874,15,1835455,2.62,853,22350,2.98,28658,427
2026-03-14,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 신규가입_프로모션,14653,457,352596,16,2129197,3.12,772,24063,3.5,22037,604
2026-03-15,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 신규가입_프로모션,23175,366,229420,8,508476,1.58,627,9899,2.19,28678,222
2026-03-16,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 신규가입_프로모션,20146,272,233766,4,581460,1.35,859,11604,1.47,58441,249
2026-03-17,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 신규가입_프로모션,17469,259,221995,5,480275,1.48,857,12708,1.93,44399,216
2026-03-18,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 신규가입_프로모션,21766,345,262465,9,996244,1.59,761,12058,2.61,29163,380
2026-03-19,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 신규가입_프로모션,20036,413,253666,10,756744,2.06,614,12661,2.42,25367,298
2026-03-20,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 신규가입_프로모션,19132,345,236884,7,898873,1.8,687,12382,2.03,33841,379
2026-03-21,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 신규가입_프로모션,22061,452,275314,11,1035417,2.05,609,12480,2.43,25029,376
2026-03-22,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 신규가입_프로모션,19467,375,264094,10,754959,1.93,704,13566,2.67,26409,286
2026-03-23,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 신규가입_프로모션,20825,373,273935,8,987018,1.79,734,13154,2.14,34242,360
2026-03-24,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 신규가입_프로모션,13544,268,221278,5,851110,1.98,826,16338,1.87,44256,385
2026-03-25,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 신규가입_프로모션,16509,307,218885,6,540394,1.86,713,13259,1.95,36481,247
2026-03-26,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 신규가입_프로모션,26815,441,278106,11,826571,1.64,631,10371,2.49,25282,297
2026-03-27,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 신규가입_프로모션,21379,359,280971,6,1110851,1.68,783,13142,1.67,46828,395
2026-03-28,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 신규가입_프로모션,14382,258,203448,6,719765,1.79,789,14146,2.33,33908,354
2026-03-29,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 신규가입_프로모션,18282,358,258104,7,717625,1.96,721,14118,1.96,36872,278
2026-03-30,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 신규가입_프로모션,21311,393,262579,9,861244,1.84,668,12321,2.29,29175,328
2026-03-31,글로우랩,뷰티/화장품,Meta,DA,[글로우랩] 신규가입_프로모션,17440,298,236604,7,676694,1.71,794,13567,2.35,33801,286
2026-03-01,글로우랩,뷰티/화장품,Naver SA,SA,[글로우랩] 봄신상_세럼,3902,175,521599,6,2622906,4.48,2981,133675,3.43,86933,503
2026-03-02,글로우랩,뷰티/화장품,Naver SA,SA,[글로우랩] 봄신상_세럼,4624,209,639937,8,3516277,4.52,3062,138395,3.83,79992,549
2026-03-03,글로우랩,뷰티/화장품,Naver SA,SA,[글로우랩] 봄신상_세럼,4222,195,689613,7,2885663,4.62,3536,163338,3.59,98516,418
2026-03-04,글로우랩,뷰티/화장품,Naver SA,SA,[글로우랩] 봄신상_세럼,4004,169,516058,7,2261647,4.22,3054,128886,4.14,73723,438
2026-03-05,글로우랩,뷰티/화장품,Naver SA,SA,[글로우랩] 봄신상_세럼,3669,192,689077,6,4031168,5.23,3589,187811,3.12,114846,585
2026-03-06,글로우랩,뷰티/화장품,Naver SA,SA,[글로우랩] 봄신상_세럼,2831,143,577080,6,2765921,5.05,4036,203843,4.2,96180,479
2026-03-07,글로우랩,뷰티/화장품,Naver SA,SA,[글로우랩] 봄신상_세럼,3146,176,506068,7,2902615,5.59,2875,160861,3.98,72295,574
2026-03-08,글로우랩,뷰티/화장품,Naver SA,SA,[글로우랩] 봄신상_세럼,3720,201,585463,7,2510414,5.4,2913,157382,3.48,83638,429
2026-03-09,글로우랩,뷰티/화장품,Naver SA,SA,[글로우랩] 봄신상_세럼,3232,193,625002,7,3679733,5.97,3238,193379,3.63,89286,589
2026-03-10,글로우랩,뷰티/화장품,Naver SA,SA,[글로우랩] 봄신상_세럼,3401,211,826287,12,5447492,6.2,3916,242954,5.69,68857,659
2026-03-11,글로우랩,뷰티/화장품,Naver SA,SA,[글로우랩] 봄신상_세럼,2490,208,833992,12,6438869,8.35,4010,334937,5.77,69499,772
2026-03-12,글로우랩,뷰티/화장품,Naver SA,SA,[글로우랩] 봄신상_세럼,2803,248,954620,14,6370176,8.85,3849,340571,5.65,68187,667
2026-03-13,글로우랩,뷰티/화장품,Naver SA,SA,[글로우랩] 봄신상_세럼,4569,343,1038082,20,6489185,7.51,3026,227201,5.83,51904,625
2026-03-14,글로우랩,뷰티/화장품,Naver SA,SA,[글로우랩] 봄신상_세럼,3366,279,1015931,19,9910151,8.29,3641,301822,6.81,53470,975
2026-03-15,글로우랩,뷰티/화장품,Naver SA,SA,[글로우랩] 봄신상_세럼,3491,163,560303,7,2832948,4.67,3437,160499,4.29,80043,506
2026-03-16,글로우랩,뷰티/화장품,Naver SA,SA,[글로우랩] 봄신상_세럼,2922,146,544149,5,2458728,5.0,3727,186225,3.42,108830,452
2026-03-17,글로우랩,뷰티/화장품,Naver SA,SA,[글로우랩] 봄신상_세럼,2761,134,548829,4,2020618,4.85,4096,198779,2.99,137207,368
2026-03-18,글로우랩,뷰티/화장품,Naver SA,SA,[글로우랩] 봄신상_세럼,2750,146,562760,6,2376713,5.31,3855,204640,4.11,93793,422
2026-03-19,글로우랩,뷰티/화장품,Naver SA,SA,[글로우랩] 봄신상_세럼,2936,173,655691,7,3399012,5.89,3790,223328,4.05,93670,518
2026-03-20,글로우랩,뷰티/화장품,Naver SA,SA,[글로우랩] 봄신상_세럼,3474,177,507359,7,2308970,5.09,2866,146045,3.95,72480,455
2026-03-21,글로우랩,뷰티/화장품,Naver SA,SA,[글로우랩] 봄신상_세럼,2131,122,510014,5,3249831,5.73,4180,239331,4.1,102003,637
2026-03-22,글로우랩,뷰티/화장품,Naver SA,SA,[글로우랩] 봄신상_세럼,4028,195,731509,7,4291248,4.84,3751,181606,3.59,104501,587
2026-03-23,글로우랩,뷰티/화장품,Naver SA,SA,[글로우랩] 봄신상_세럼,2769,162,602483,6,3266578,5.85,3719,217582,3.7,100414,542
2026-03-24,글로우랩,뷰티/화장품,Naver SA,SA,[글로우랩] 봄신상_세럼,4033,184,642547,7,3062768,4.56,3492,159322,3.8,91792,477
2026-03-25,글로우랩,뷰티/화장품,Naver SA,SA,[글로우랩] 봄신상_세럼,3283,162,651168,7,3027518,4.93,4020,198345,4.32,93024,465
2026-03-26,글로우랩,뷰티/화장품,Naver SA,SA,[글로우랩] 봄신상_세럼,3448,182,718247,8,3388506,5.28,3946,208308,4.4,89781,472
2026-03-27,글로우랩,뷰티/화장품,Naver SA,SA,[글로우랩] 봄신상_세럼,2692,136,566579,6,3665262,5.05,4166,210468,4.41,94430,647
2026-03-28,글로우랩,뷰티/화장품,Naver SA,SA,[글로우랩] 봄신상_세럼,3593,182,648126,7,3137336,5.07,3561,180386,3.85,92589,484
2026-03-29,글로우랩,뷰티/화장품,Naver SA,SA,[글로우랩] 봄신상_세럼,3246,182,672216,7,3581549,5.61,3693,207091,3.85,96031,533
2026-03-30,글로우랩,뷰티/화장품,Naver SA,SA,[글로우랩] 봄신상_세럼,3793,209,713974,7,4590985,5.51,3416,188235,3.35,101996,643
2026-03-31,글로우랩,뷰티/화장품,Naver SA,SA,[글로우랩] 봄신상_세럼,4328,202,636228,9,3394819,4.67,3150,147003,4.46,70692,534
2026-03-01,글로우랩,뷰티/화장품,Naver SA,SA,[글로우랩] 화이트데이_선물세트,1549,86,415671,4,1909763,5.55,4833,268348,4.65,103918,459
2026-03-02,글로우랩,뷰티/화장품,Naver SA,SA,[글로우랩] 화이트데이_선물세트,2642,139,562409,6,2833085,5.26,4046,212872,4.32,93735,504
2026-03-03,글로우랩,뷰티/화장품,Naver SA,SA,[글로우랩] 화이트데이_선물세트,2565,117,562921,5,3011812,4.56,4811,219462,4.27,112584,535
2026-03-04,글로우랩,뷰티/화장품,Naver SA,SA,[글로우랩] 화이트데이_선물세트,2598,143,580226,8,2927492,5.5,4058,223336,5.59,72528,505
2026-03-05,글로우랩,뷰티/화장품,Naver SA,SA,[글로우랩] 화이트데이_선물세트,2543,142,554041,7,3651974,5.58,3902,217869,4.93,79149,659
2026-03-06,글로우랩,뷰티/화장품,Naver SA,SA,[글로우랩] 화이트데이_선물세트,2406,122,453328,7,2562014,5.07,3716,188415,5.74,64761,565
2026-03-07,글로우랩,뷰티/화장품,Naver SA,SA,[글로우랩] 화이트데이_선물세트,2207,104,426669,5,2476544,4.71,4103,193326,4.81,85334,580
2026-03-08,글로우랩,뷰티/화장품,Naver SA,SA,[글로우랩] 화이트데이_선물세트,2906,137,513246,7,3179393,4.71,3746,176616,5.11,73321,619
2026-03-09,글로우랩,뷰티/화장품,Naver SA,SA,[글로우랩] 화이트데이_선물세트,2317,104,466887,5,3078478,4.49,4489,201505,4.81,93377,659
2026-03-10,글로우랩,뷰티/화장품,Naver SA,SA,[글로우랩] 화이트데이_선물세트,2791,198,763978,15,7366991,7.09,3858,273729,7.58,50932,964
2026-03-11,글로우랩,뷰티/화장품,Naver SA,SA,[글로우랩] 화이트데이_선물세트,3047,222,730246,16,7243721,7.29,3289,239661,7.21,45640,992
2026-03-12,글로우랩,뷰티/화장품,Naver SA,SA,[글로우랩] 화이트데이_선물세트,2913,229,901198,17,8982833,7.86,3935,309371,7.42,53012,997
2026-03-13,글로우랩,뷰티/화장품,Naver SA,SA,[글로우랩] 화이트데이_선물세트,2521,188,806021,15,9521263,7.46,4287,319723,7.98,53735,1181
2026-03-14,글로우랩,뷰티/화장품,Naver SA,SA,[글로우랩] 화이트데이_선물세트,2067,191,831019,19,9936454,9.24,4351,402041,9.95,43738,1196
2026-03-15,글로우랩,뷰티/화장품,Naver SA,SA,[글로우랩] 화이트데이_선물세트,3160,132,508041,6,2917305,4.18,3849,160772,4.55,84673,574
2026-03-16,글로우랩,뷰티/화장품,Naver SA,SA,[글로우랩] 화이트데이_선물세트,4028,155,510358,7,3140123,3.85,3293,126702,4.52,72908,615
